muncipality,sequences,cases
Bras-Panon,23,561
Cilaos,47,275
Entre-Deux,44,669
La Plaine-des-Palmistes,13,95
La Possession,48,2296
L'Étang-Salé,157,1453
Le Port,48,1613
Le Tampon,480,7444
Les Avirons,67,1348
Les Trois-Bassins,29,576
Petite-Île,102,1341
Saint-André,81,2137
Saint-Benoît,77,986
Saint-Denis,504,6843
Sainte-Marie,100,1504
Sainte-Rose,17,271
Sainte-Suzanne,67,1010
Saint-Joseph,197,3537
Saint-Leu,123,3696
Saint-Louis,219,2894
Saint-Paul,233,8541
Saint-Philippe,29,440
Saint-Pierre,396,4834
Salazie,13,191
