state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-107057.02174259874	-3097.526050108264	-103959.49569249047	3.761744408300942	2021.8327761396442	65.48780848846417	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	4.0954E-4	4.095400000000018E-4	-103959.49569249047	0.0	-3090.0325765129373
100000	-81200.23013567746	-13683.987157451604	-67516.24297822586	1.3091757712102892	2024.285344776735	261.8791915522783	15.916735326245979	-0.9468371272979217	0.9711903393095221	1.0116762336861649	0.9931057611352552	0.99141092678395	1.0094193385817134	1.0231974005033944	0.2640098312321852	0.2649692520076636	0.23195382083691896	0.2390670959232322	0.048939521867686804	0.00170820026683734	0.0017082002668373432	-67516.24297822586	0.0	-13157.59623775561
200000	-76220.2516524625	-15098.08656926131	-61122.16508320118	1.133086669755141	2024.46143387819	353.0728049399296	59.76537272405212	0.6155683383477026	0.9503507163165728	1.0281892652700675	0.9578069617331746	0.9833439312059542	1.0400687555632413	1.040240369910989	0.264857644071379	0.26647295353827644	0.23299989704899468	0.2356695053413498	0.029221715245738078	0.0012789677444581004	0.0012789677444580946	-61122.16508320118	0.0	-14855.657103146126
300000	-72958.1715156883	-15513.858201758647	-57444.313313929655	1.253349036562834	2024.3411715113823	419.22138577796466	277.81775127856855	3.4800946973431732	0.9105368747798939	1.0464433233179613	0.9290532036748146	0.9792501054354754	1.0877958994802035	1.0469205933116505	0.26592218506283866	0.2656906345929083	0.23422021502754092	0.23416696531671208	0.03543608337565886	0.001001228697131479	0.0010012286971314822	-57444.313313929655	0.0	-15394.037388694262
400000	-70364.66600852722	-15964.149708693178	-54400.51629983404	1.4638432893470539	2024.130677258598	483.2657487095708	629.2692692142414	4.562850248666745	0.8592147626462171	1.0559226526385805	0.9181314343072018	1.0016628535260872	1.1159660662386601	1.0491022306432527	0.2657442832875952	0.26392263935148075	0.23853275472012891	0.23180032264079506	0.03218036408890203	7.61561442157096E-4	7.615614421570944E-4	-54400.51629983404	0.0	-15912.491850638875
500000	-68094.07822337584	-16492.865580900037	-51601.212642475795	1.6389026982386095	2023.9556178497066	554.7691246366946	1109.6550202615117	5.018026034845299	0.8229732432015587	1.070847282437168	0.8851629665707325	1.0100207145624591	1.1586116352822073	1.0523841579458737	0.2719335104633083	0.26090496965522625	0.23614629372488807	0.23101522615657738	0.06106036688009169	6.133262920918741E-4	6.133262920918719E-4	-51601.212642475795	0.0	-16465.355483547653
600000	-66846.08364072694	-16823.62522177064	-50022.4584189563	1.808709951961913	2023.7858105959833	605.7468626401889	1452.1752300041865	5.2501732358014195	0.8108081331385986	1.06033252175012	0.8854249782938121	1.010679732349698	1.1747721514408733	1.0579824830268973	0.2773083934481907	0.26030666895474797	0.23334206277331845	0.22904287482374294	0.014729548781418482	5.225936987154042E-4	5.225936987154017E-4	-50022.4584189563	0.0	-16804.40695379615
700000	-65657.98103213831	-17125.588999746476	-48532.39203239183	1.6198694001433318	2023.9746511478018	658.2421089923505	2349.453920459007	5.6569175378869865	0.7708434719358733	1.0849688208209212	0.8793837551594549	1.0021245398897696	1.1927637723197924	1.0699156398741885	0.2755290160501925	0.2647776337580126	0.23553079230617216	0.22416255788562278	0.08027773394899647	4.5222022805368724E-4	4.522202280536879E-4	-48532.39203239183	0.0	-17108.21735026434
800000	-64566.25642697133	-17264.923829004594	-47301.33259796674	1.7713767514406717	2023.8231437965046	686.1685784184525	2786.7909263281085	5.885869790975662	0.7443441204057222	1.147442282518073	0.8494565683903857	0.9726772622916855	1.2112374786151239	1.0748422877790094	0.2708821795750073	0.2641395400216843	0.23675154866768688	0.22822673173562144	0.09126170561291348	3.897554560539667E-4	3.897554560539667E-4	-47301.33259796674	0.0	-17247.358474769673
900000	-63679.393699828826	-17378.529629604698	-46300.864070224125	1.683466052606645	2023.9110544953385	707.2960813806257	3179.6389909470086	5.94805341703607	0.7446256087936188	1.157016821612525	0.8402135120055816	0.9750439180056439	1.2243201345434702	1.05878000503916	0.2849490575847387	0.26324034263799173	0.23343116015517723	0.21837943962209228	0.05234491803726797	3.6479443015510684E-4	3.6479443015510673E-4	-46300.864070224125	0.0	-17360.023114337393
1000000	-63046.60749647975	-17430.41463449988	-45616.19286197987	1.7432412080946382	2023.8512793398506	720.0180936266947	3761.9805610837207	6.2230270645838655	0.735581789247297	1.1792466695399935	0.8399017528502797	0.9765595608135045	1.242214834568494	1.026495392980431	0.27326283473966123	0.2654991784607926	0.23392693056440889	0.22731105623513725	0.08794225591022517	3.754140303030665E-4	3.7541403030306726E-4	-45616.19286197987	0.0	-17411.34058911012
1100000	-62217.93259742542	-17532.92025188047	-44685.01234554494	1.547342896536468	2024.0471776514087	743.0287985139382	4638.185938460219	6.369915294595468	0.7128182756530289	1.1987208268668121	0.8434072163389276	0.9677708759348996	1.2702053887972073	1.007077416409124	0.270866820308371	0.2662476323331694	0.24290119762317813	0.21998434973528141	0.10803070917419007	3.2940000231258793E-4	3.294000023125885E-4	-44685.01234554494	0.0	-17511.10737088953
1200000	-61595.321615212	-17537.718851191952	-44057.60276402005	1.632855011634914	2023.9616655363102	748.6467729976658	5525.087519793622	6.708064331623312	0.699466059195891	1.2146934056065675	0.8296113227847216	0.962547338059024	1.302878560928232	0.9908033134255633	0.2802434816128753	0.2560902993756384	0.23865661006569674	0.22500960894578956	0.10794018846485859	3.1392900765340196E-4	3.1392900765340364E-4	-44057.60276402005	0.0	-17514.007531430387
1300000	-61312.78259997294	-17645.629680848393	-43667.15291912454	1.5960737765655968	2023.9984467713796	771.8825459694193	5953.636581106684	6.646222316439266	0.7135972076832587	1.2311450627461735	0.8103807511293571	0.9223521062222857	1.3195176612059862	1.0030072110129382	0.27835942705509675	0.2564897087412713	0.24403664818420348	0.2211142160194285	0.08634856455758436	2.9905212010123235E-4	2.990521201012324E-4	-43667.15291912454	0.0	-17620.519054164586
