,REU.1.1_1,REU.1.2_1,REU.1.3_1,REU.1.4_1,REU.1.5_1,REU.1.6_1,REU.2.1_1,REU.2.2_1,REU.2.3_1,REU.2.4_1,REU.2.5_1,REU.3.1_1,REU.3.2_1,REU.3.3_1,REU.3.4_1,REU.3.5_1,REU.4.1_1,REU.4.2_1,REU.4.3_1,REU.4.4_1,REU.4.5_1,REU.4.6_1,REU.4.7_1,REU.4.8_1
REU.1.1_1,0,17.3685425971979,4.18919184496994,8.070727345437,21.9981509263412,16.9762777246083,34.6581430696273,38.8865808143489,23.4651344035506,15.8570974569522,9.47357319157559,43.8110094809019,43.8085219136183,41.3506014269679,43.747016143342,40.7156392954276,26.9979269087117,34.8034235808509,33.6219370097132,41.3294025867683,41.8024808712623,40.3792825556477,42.1371885373008,41.3463886326617
REU.1.2_1,17.3685425971979,0,20.7999398236346,13.2959283141576,18.2858347321238,16.0945528673015,36.2669526686256,40.1926226062386,31.3609273078335,26.1644000870094,23.7302548985133,30.2014326368097,31.2754307946227,34.5519639474271,33.4714082483647,37.4368637014187,15.8924638023666,19.316815122719,16.887589296233,23.961179046826,24.901669783139,25.4164985932601,27.8684232690959,24.6625460484158
REU.1.3_1,4.18919184496994,20.7999398236346,0,12.2293290348754,26.0668853853329,17.1513828289978,32.7764383793508,36.9473367076262,20.5409078838933,12.7848991908639,5.70933548841059,45.4500812728185,45.1400789006684,41.2637067616765,44.4749855018701,39.7970708547185,28.5229133758546,37.1779191245285,36.4727807878966,44.6828913548203,45.5258617545242,42.4882139583415,46.250073994541,44.094793080106
REU.1.4_1,8.070727345437,13.2959283141576,12.2293290348754,0,14.008640816154,20.3941452690165,40.1690744648827,44.3996207072653,30.5275872159507,23.2538939972747,17.4608169466736,42.8664749722357,43.5089245313833,43.8285836132636,44.6539966018056,44.6230648521974,26.9800333761056,32.482840501094,30.1613803652336,36.3157132418598,35.6989623546304,38.4937348188324,34.6642974147894,37.9190848909664
REU.1.5_1,21.9981509263412,18.2858347321238,26.0668853853329,14.008640816154,0,31.9952086061445,52.5398149817401,56.6878423824323,44.2152942683,37.1545080425241,31.4490797633521,47.095501591077,48.6987073439471,52.8146236931448,51.5328600818467,55.2531967957062,34.1510510784893,35.4226276546863,31.3381559793094,33.3404813837781,29.9846870177007,41.5287405183839,24.5016674332269,38.1908346771638
REU.1.6_1,16.9762777246083,16.0945528673015,17.1513828289978,20.3941452690165,31.9952086061445,0,20.5988412760185,24.7076387330001,16.1197048589957,13.3760362749335,15.650818204869,29.3545728862731,28.5529906647225,24.3757703451709,27.3685830404319,24.2582527067924,12.9132207581654,23.4171705059981,24.7238983000594,34.8491548549801,38.2189992222715,27.5786474044732,43.5200338683165,31.2990637234403
REU.2.1_1,34.6581430696273,36.2669526686256,32.7764383793508,40.1690744648827,52.5398149817401,20.5988412760185,0,4.24141709471049,14.3839087273815,20.955721346229,28.1240261498874,34.4002498072527,31.6657345868894,18.1417199938667,26.4169967027906,11.1253257825545,25.6115415458536,35.5481237172399,39.246635853727,49.7599176075896,54.8872874084977,36.4502733939282,62.4193154839798,43.2255234198591
REU.2.2_1,38.8865808143489,40.1926226062386,36.9473367076262,44.3996207072653,56.6878423824323,24.7076387330001,4.24141709471049,0,18.0085207363142,24.9440725284006,32.1970482106685,35.8021517474024,32.8250689926316,18.379993502051,27.0666118381484,10.4030515799361,28.7302830660516,38.1580691593466,42.1542537183333,52.5631361741153,57.9719709166944,38.4735825998592,65.9346232720411,45.6000398172982
REU.2.3_1,23.4651344035506,31.3609273078335,20.5409078838933,30.5275872159507,44.2152942683,16.1197048589957,14.3839087273815,18.0085207363142,0,7.76016583117597,15.1222898698951,41.4670513127157,39.6092814465193,29.3885658649155,36.0248735101514,24.4290140361315,27.3937080374554,38.3715556476973,40.4523626914588,50.7919853970621,54.3386307087475,41.4071161335527,59.1990104543246,46.4248070016253
REU.2.4_1,15.8570974569522,26.1644000870094,12.7848991908639,23.2538939972747,37.1545080425241,13.3760362749335,20.955721346229,24.9440725284006,7.76016583117597,0,7.40832475631818,42.044449628632,40.775705523925,33.0526174784109,38.3377030263348,29.6396016325735,26.1827998851926,36.7931368940211,37.8975525512286,47.7310945743884,50.3872207458832,40.8160770372254,53.9054704087127,44.6545883067664
