,REU.1.1_1,REU.1.2_1,REU.1.3_1,REU.1.4_1,REU.1.5_1,REU.1.6_1,REU.2.1_1,REU.2.2_1,REU.2.3_1,REU.2.4_1,REU.2.5_1,REU.3.1_1,REU.3.2_1,REU.3.3_1,REU.3.4_1,REU.3.5_1,REU.4.1_1,REU.4.2_1,REU.4.3_1,REU.4.4_1,REU.4.5_1,REU.4.6_1,REU.4.7_1,REU.4.8_1
REU.1.1_1,1520.71457912736,34.6621849042292,585.486177759903,526.870610015608,33.2244431714251,66.695542554686,12.2861771757478,38.2883856500251,502.367888144209,180.794924296283,158.798552442451,3.8836934206573,0.1,4.90186330756711,14.2689256362749,47.8775890997036,0.1,0.1,14.8118334757756,3.16701632824636,5.76356912499902,7.65545578892529,5.17065684983323,22.2487593281544
REU.1.2_1,34.6621849042292,986.481813298522,110.940992675283,209.52816022601,7.26924437387069,0.1,14.1721543989855,24.2914715120116,169.347991527368,54.9437079366255,30.0218584552654,0.1,0.1,0.1,3.21799456405954,11.7263478086013,0.1,10.8078773611893,95.3911607394835,0.1,4.87602896412103,8.25589123785028,0.1,20.1346953997498
REU.1.3_1,585.486177759903,110.940992675283,8016.63731516693,1106.28010851465,47.6981125459844,167.62898067072,61.2062776427005,200.555827118167,2323.23909909929,967.375573746416,962.442102749983,3.31659560565909,11.378780443441,14.9152829913928,23.1414921416089,204.031629822786,0.1,10.189527821035,53.9992794713291,4.35777287310041,21.6260691574651,27.4061570475125,20.577023998776,102.017012999908
REU.1.4_1,526.870610015608,209.52816022601,1106.28010851465,5748.16576325765,196.059477972971,61.6088469358014,45.6690697793508,102.799250474449,922.494329163378,406.708218810521,287.77123970461,4.03079436210128,11.0356092658317,0.1,30.0808813988017,86.4522848316017,0.1,5.0017686839691,110.492763672356,6.3137592937743,23.9037010479785,29.2814299029765,0.1,81.3258113335855
REU.1.5_1,33.2244431714251,7.26924437387069,47.6981125459844,196.059477972971,1016.00119035881,0.1,29.7986519564867,14.7172412167379,100.618922647667,29.4166970321012,24.8185610831144,7.93131893127575,0.1,0.1,0.1,14.2886808166314,0.1,0.1,14.4930576522517,3.71556417694046,20.3965422278598,4.99998941206431,5.13110799753101,39.5901203769989
REU.1.6_1,66.695542554686,0.1,167.62898067072,61.6088469358014,0.1,1093.7374983302,5.15079414028038,25.3825279660399,72.4900783732855,30.2100145256606,20.780877290463,9.28553799248991,0.1,0.1,3.82540151206264,5.15079414028038,0.1,0.1,7.36393678824436,0.1,0.1,7.10810251267225,0.1,0.1
REU.2.1_1,12.2861771757478,14.1721543989855,61.2062776427005,45.6690697793508,29.7986519564867,5.15079414028038,4140.99508428128,2362.52218915793,1466.1900860144,201.638192958263,54.1779439973221,38.372998614498,12.6813475351706,29.0368828326818,115.076998556723,1633.55260459197,10.383826360285,5.0017686839691,66.8729540250146,16.5743211942055,21.5989168046246,64.4099999340381,0.1,90.1923149937979
REU.2.2_1,38.2883856500251,24.2914715120116,200.555827118167,102.799250474449,14.7172412167379,25.3825279660399,2362.52218915793,5631.85745769808,1219.29559724666,207.499563213771,104.028260191683,101.597479292433,167.917887960901,128.577974907359,405.930299443615,3110.96560898988,8.39093014278088,31.1236753650191,155.453527588727,28.6825018429985,125.55419507598,205.485052716822,31.1586267151995,247.623155157363
REU.2.3_1,502.367888144209,169.347991527368,2323.23909909929,922.494329163378,100.618922647667,72.4900783732855,1466.1900860144,1219.29559724666,40534.7862903928,4193.02954014487,1574.50020643312,127.143413395745,95.6614712032628,78.1459789186487,376.870319813205,2349.8565460093,11.6338293800199,64.575173278864,356.991338246519,42.922656563972,97.8616475256371,244.444188229486,22.073768070002,434.890681849496
REU.2.4_1,180.794924296283,54.9437079366255,967.375573746416,406.708218810521,29.4166970321012,30.2100145256606,201.638192958263,207.499563213771,4193.02954014487,4935.19038471766,628.785861654161,18.5545505920579,19.2544117330197,15.0291008299394,54.8090001931265,301.739379837088,0.1,5.32048986757263,64.5014207791935,14.7416456304473,15.5574182602738,35.7041787214436,0.1,81.7946422661805
