,population_count
REU.1.1_1,13344
REU.1.2_1,6821
REU.1.3_1,57150
REU.1.4_1,37023
REU.1.5_1,6343
REU.1.6_1,7243
REU.2.1_1,35245
REU.2.2_1,33336
REU.2.3_1,154765
REU.2.4_1,34344
REU.2.5_1,24293
REU.3.1_1,13836
REU.3.2_1,11434
REU.3.3_1,6899
REU.3.4_1,34893
REU.3.5_1,105240
REU.4.1_1,5390
REU.4.2_1,7105
REU.4.3_1,81943
REU.4.4_1,12617
REU.4.5_1,38807
REU.4.6_1,53935
REU.4.7_1,5074
REU.4.8_1,84077
