node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,tipLabel,endLon,endLat
3115,1,REU.3.5_1,REU.3.5_1,0.00594074560284474,0.00594074560284474,0,2024.6115455932,2024.6174863388,CHIKV_RUN_S06b01_2024,55.222994,-21.03531
3115,3116,REU.3.5_1,REU.3.5_1,0.0100599836090762,0.0100599836090762,0,2024.6115455932,2024.6216055768,NA,NA,NA
3116,3338,REU.3.5_1,REU.3.5_1,0.0202362769092663,0.0302962605183426,0.0100599836090762,2024.6216055768,2024.64184185371,NA,NA,NA
3116,3117,REU.3.5_1,REU.3.5_1,0.0243911960417214,0.0344511796507976,0.0100599836090762,2024.6216055768,2024.64599677285,NA,NA,NA
3117,2,REU.3.5_1,REU.3.5_1,0.00700869163514206,0.0414598712859396,0.0344511796507976,2024.64599677285,2024.65300546448,CHIKV_RUN_S2b92_2024,55.222994,-21.03531
3338,3339,REU.3.5_1,REU.3.1_1,0.0203126029373811,0.0506088634557237,0.0302962605183426,2024.64184185371,2024.66215445665,NA,NA,NA
3117,3118,REU.3.5_1,REU.3.5_1,0.0225042399240264,0.056955419574824,0.0344511796507976,2024.64599677285,2024.66850101277,NA,NA,NA
3338,2588,REU.3.5_1,REU.3.5_1,0.0302892938277076,0.0605855543460502,0.0302962605183426,2024.64184185371,2024.67213114754,CHIKV_RUN_S2b93_2024,55.223179,-21.035738
3339,5578,REU.3.1_1,REU.3.1_1,0.0184510203071604,0.0690598837628841,0.0506088634557237,2024.66215445665,2024.68060547696,NA,NA,NA
3118,3119,REU.3.5_1,REU.3.5_1,0.02171835804473,0.078673777619554,0.056955419574824,2024.66850101277,2024.69021937081,NA,NA,NA
5578,5754,REU.3.1_1,REU.3.1_1,0.0133169522407547,0.0823768360036388,0.0690598837628841,2024.68060547696,2024.6939224292,NA,NA,NA
3119,3120,REU.3.5_1,REU.3.5_1,0.00613390936145608,0.08480768698101,0.078673777619554,2024.69021937081,2024.69635328018,NA,NA,NA
3119,3114,REU.3.5_1,REU.3.5_1,0.00650194066085907,0.085175718280413,0.078673777619554,2024.69021937081,2024.69672131148,CHIKV_RUN_S3b83_2024,55.222489,-21.036097
3120,1769,REU.3.5_1,REU.3.4_1,0.011296993048135,0.0961046800291451,0.08480768698101,2024.69635328018,2024.70765027322,CHIKV_RUN_S3b82_2024,55.288681,-21.171711
5754,6224,REU.3.1_1,REU.3.1_1,0.0323457506315058,0.114722586635145,0.0823768360036388,2024.6939224292,2024.72626817983,NA,NA,NA
6224,2399,REU.3.1_1,REU.3.5_1,0.00870449776548954,0.123427084400634,0.114722586635145,2024.72626817983,2024.7349726776,CHIKV_RUN_S12b41_2024,55.224204,-21.078267
3339,3340,REU.3.1_1,REU.3.1_1,0.0898613339858491,0.140470197441573,0.0506088634557237,2024.66215445665,2024.75201579064,NA,NA,NA
3340,3341,REU.3.1_1,REU.4.3_1,0.0121295385262181,0.152599735967791,0.140470197441573,2024.75201579064,2024.76414532916,NA,NA,NA
6224,6225,REU.3.1_1,REU.3.1_1,0.0430834549066659,0.15780604154181,0.114722586635145,2024.72626817983,2024.76935163474,NA,NA,NA
3118,3235,REU.3.5_1,REU.3.1_1,0.113746364149677,0.170701783724501,0.056955419574824,2024.66850101277,2024.78224737692,NA,NA,NA
3341,3852,REU.4.3_1,REU.4.3_1,0.0315331603129759,0.184132896280767,0.152599735967791,2024.76414532916,2024.79567848948,NA,NA,NA
5754,5755,REU.3.1_1,REU.3.1_1,0.102544159321095,0.184920995324734,0.0823768360036388,2024.6939224292,2024.79646658852,NA,NA,NA
3852,3853,REU.4.3_1,REU.4.3_1,0.00358329210293384,0.187716188383701,0.184132896280767,2024.79567848948,2024.79926178158,NA,NA,NA
5755,5756,REU.3.1_1,REU.3.1_1,0.00814945563018221,0.193070450954916,0.184920995324734,2024.79646658852,2024.80461604415,NA,NA,NA
5755,5870,REU.3.1_1,REU.3.1_1,0.0120933503317752,0.197014345656509,0.184920995324734,2024.79646658852,2024.80855993885,NA,NA,NA
5578,5579,REU.3.1_1,REU.3.1_1,0.128318407563433,0.197378291326317,0.0690598837628841,2024.68060547696,2024.80892388452,NA,NA,NA
3340,5051,REU.3.1_1,REU.3.1_1,0.0575289682213894,0.197999165662962,0.140470197441573,2024.75201579064,2024.80954475886,NA,NA,NA
3120,3121,REU.3.5_1,REU.3.5_1,0.114630019009881,0.199437705990891,0.08480768698101,2024.69635328018,2024.81098329919,NA,NA,NA
3121,2587,REU.3.5_1,REU.3.5_1,0.00322435108731101,0.202662057078202,0.199437705990891,2024.81098329919,2024.81420765027,CHIKV_RUN_S4b3_2024,55.231193,-21.051375
6225,6226,REU.3.1_1,REU.3.1_1,0.0476358751536979,0.205441916695508,0.15780604154181,2024.76935163474,2024.81698750989,NA,NA,NA
3853,3854,REU.4.3_1,REU.4.3_1,0.0184674308666796,0.20618361925038,0.187716188383701,2024.79926178158,2024.81772921245,NA,NA,NA
3341,3342,REU.4.3_1,REU.4.3_1,0.0569418797192028,0.209541615686994,0.152599735967791,2024.76414532916,2024.82108720888,NA,NA,NA
3853,4314,REU.4.3_1,REU.4.3_1,0.0264900029243209,0.214206191308022,0.187716188383701,2024.79926178158,2024.8257517845,NA,NA,NA
3854,3855,REU.4.3_1,REU.4.3_1,0.00866229157558684,0.214845910825967,0.20618361925038,2024.81772921245,2024.82639150402,NA,NA,NA
5870,5871,REU.3.1_1,REU.3.1_1,0.0192275175360703,0.21624186319258,0.197014345656509,2024.80855993885,2024.82778745639,NA,NA,NA
3852,4748,REU.4.3_1,REU.4.3_1,0.0350701426237537,0.219203038904521,0.184132896280767,2024.79567848948,2024.8307486321,NA,NA,NA
3342,3343,REU.4.3_1,REU.4.3_1,0.0108445742924831,0.220386189979477,0.209541615686994,2024.82108720888,2024.83193178317,NA,NA,NA
5579,5736,REU.3.1_1,REU.3.1_1,0.0239734747371507,0.221351766063468,0.197378291326317,2024.80892388452,2024.83289735926,NA,NA,NA
5871,6047,REU.3.1_1,REU.3.1_1,0.00633185824058802,0.222573721433168,0.21624186319258,2024.82778745639,2024.83411931463,NA,NA,NA
5051,5052,REU.3.1_1,REU.3.1_1,0.0260065315575747,0.224005697220537,0.197999165662962,2024.80954475886,2024.83555129042,NA,NA,NA
5871,5872,REU.3.1_1,REU.3.1_1,0.00915575233340626,0.225397615525986,0.21624186319258,2024.82778745639,2024.83694320872,NA,NA,NA
3342,3747,REU.4.3_1,REU.4.3_1,0.0184336851201462,0.22797530080714,0.209541615686994,2024.82108720888,2024.839520894,NA,NA,NA
3121,3122,REU.3.5_1,REU.3.1_1,0.0287750610723781,0.22821276706327,0.199437705990891,2024.81098329919,2024.83975836026,NA,NA,NA
4748,637,REU.4.3_1,REU.3.5_1,0.0135136629825244,0.232716701887045,0.219203038904521,2024.8307486321,2024.84426229508,CHIKV_RUN_S5b01_2024,55.223821,-21.079274
6047,6147,REU.3.1_1,REU.3.1_1,0.0112596233626368,0.233833344795804,0.222573721433168,2024.83411931463,2024.84537893799,NA,NA,NA
5052,5453,REU.3.1_1,REU.3.1_1,0.00991833951828702,0.233924036738824,0.224005697220537,2024.83555129042,2024.84546962993,NA,NA,NA
3343,3344,REU.4.3_1,REU.4.3_1,0.0151443748508517,0.235530564830329,0.220386189979477,2024.83193178317,2024.84707615803,NA,NA,NA
4314,4455,REU.4.3_1,REU.4.3_1,0.0213841409182713,0.235590332226293,0.214206191308022,2024.8257517845,2024.84713592542,NA,NA,NA
3122,3151,REU.3.1_1,REU.3.1_1,0.0116824768863829,0.239895243949652,0.22821276706327,2024.83975836026,2024.85144083714,NA,NA,NA
6147,6148,REU.3.1_1,REU.3.1_1,0.0115411662442531,0.245374511040057,0.233833344795804,2024.84537893799,2024.85692010424,NA,NA,NA
5052,5053,REU.3.1_1,REU.3.1_1,0.0236705167494462,0.247676213969983,0.224005697220537,2024.83555129042,2024.85922180716,NA,NA,NA
5756,5757,REU.3.1_1,REU.3.1_1,0.054890339475414,0.24796079043033,0.193070450954916,2024.80461604415,2024.85950638363,NA,NA,NA
6047,6048,REU.3.1_1,REU.3.1_1,0.0279530129578233,0.250526734390991,0.222573721433168,2024.83411931463,2024.86207232759,NA,NA,NA
5453,5548,REU.3.1_1,REU.3.1_1,0.0173691673213228,0.251293204060147,0.233924036738824,2024.84546962993,2024.86283879726,NA,NA,NA
5053,5126,REU.3.1_1,REU.3.1_1,0.00575026375740306,0.253426477727386,0.247676213969983,2024.85922180716,2024.86497207092,NA,NA,NA
5757,5758,REU.3.1_1,REU.3.1_1,0.00628883843314043,0.254249628863471,0.24796079043033,2024.85950638363,2024.86579522206,NA,NA,NA
5126,5147,REU.3.1_1,REU.3.1_1,0.00188020870782879,0.255306686435215,0.253426477727386,2024.86497207092,2024.86685227963,NA,NA,NA
3747,1699,REU.4.3_1,REU.3.5_1,0.0293315650142679,0.257306865821408,0.22797530080714,2024.839520894,2024.86885245902,CHIKV_RUN_S5b06_2024,55.225315,-21.079569
6148,6149,REU.3.1_1,REU.3.1_1,0.0121586907965814,0.257533201836639,0.245374511040057,2024.85692010424,2024.86907879503,NA,NA,NA
3344,3355,REU.4.3_1,REU.4.3_1,0.0221419373510749,0.257672502181403,0.235530564830329,2024.84707615803,2024.86921809538,NA,NA,NA
5147,5195,REU.3.1_1,REU.3.1_1,0.00484360974627107,0.260150296181486,0.255306686435215,2024.86685227963,2024.87169588938,NA,NA,NA
4314,4315,REU.4.3_1,REU.4.3_1,0.0467941080186051,0.261000299326627,0.214206191308022,2024.8257517845,2024.87254589252,NA,NA,NA
3344,3345,REU.4.3_1,REU.4.3_1,0.0264251940522958,0.261955758882624,0.235530564830329,2024.84707615803,2024.87350135208,NA,NA,NA
5872,5946,REU.3.1_1,REU.3.1_1,0.0368519405343241,0.26224955606031,0.225397615525986,2024.83694320872,2024.87379514926,NA,NA,NA
5195,5196,REU.3.1_1,REU.3.1_1,0.00254405011285697,0.262694346294343,0.260150296181486,2024.87169588938,2024.87423993949,NA,NA,NA
3345,1755,REU.4.3_1,REU.4.3_1,0.000815587813035812,0.26277134669566,0.261955758882624,2024.87350135208,2024.87431693989,CHIKV_RUN_S12b01_2024,55.507669,-21.286309
5196,5197,REU.3.1_1,REU.3.1_1,0.000186202998793572,0.262880549293137,0.262694346294343,2024.87423993949,2024.87442614249,NA,NA,NA
3343,3485,REU.4.3_1,REU.4.3_1,0.0441278523427855,0.264514042322262,0.220386189979477,2024.83193178317,2024.87605963552,NA,NA,NA
5196,5263,REU.3.1_1,REU.3.1_1,0.00206847135476107,0.264762817649104,0.262694346294343,2024.87423993949,2024.87630841084,NA,NA,NA
3854,4182,REU.4.3_1,REU.4.3_1,0.0608586275686624,0.267042246819043,0.20618361925038,2024.81772921245,2024.87858784001,NA,NA,NA
5051,1919,REU.3.1_1,REU.3.1_1,0.0702366619071777,0.26823582757014,0.197999165662962,2024.80954475886,2024.87978142077,CHIKV_RUN_S5b09_2024,55.365166,-21.257606
3485,3486,REU.4.3_1,REU.4.3_1,0.00428521208293897,0.268799254405201,0.264514042322262,2024.87605963552,2024.8803448476,NA,NA,NA
3485,3741,REU.4.3_1,REU.4.3_1,0.0043659272118759,0.268879969534138,0.264514042322262,2024.87605963552,2024.88042556273,NA,NA,NA
4748,4749,REU.4.3_1,REU.4.3_1,0.04995276602425,0.269155804928771,0.219203038904521,2024.8307486321,2024.88070139812,NA,NA,NA
3151,3175,REU.3.1_1,REU.3.1_1,0.0297072958276142,0.269602539777267,0.239895243949652,2024.85144083714,2024.88114813297,NA,NA,NA
4749,4750,REU.4.3_1,REU.4.3_1,0.000990948699746808,0.270146753628517,0.269155804928771,2024.88070139812,2024.88169234682,NA,NA,NA
3175,3176,REU.3.1_1,REU.3.1_1,0.00217455453741244,0.271777094314679,0.269602539777267,2024.88114813297,2024.88332268751,NA,NA,NA
4750,4940,REU.4.3_1,REU.4.3_1,0.00163495489756815,0.271781708526086,0.270146753628517,2024.88169234682,2024.88332730172,NA,NA,NA
5579,5580,REU.3.1_1,REU.3.1_1,0.0752944968882235,0.272672788214541,0.197378291326317,2024.80892388452,2024.88421838141,NA,NA,NA
4750,4751,REU.4.3_1,REU.4.3_1,0.00338859991785834,0.273535353546376,0.270146753628517,2024.88169234682,2024.88508094674,NA,NA,NA
5580,5581,REU.3.1_1,REU.3.1_1,0.00134761972247466,0.274020407937015,0.272672788214541,2024.88421838141,2024.88556600113,NA,NA,NA
4940,4941,REU.4.3_1,REU.4.3_1,0.00264331605336077,0.274425024579446,0.271781708526086,2024.88332730172,2024.88597061777,NA,NA,NA
5736,5737,REU.3.1_1,REU.3.1_1,0.0532772103772229,0.274628976440691,0.221351766063468,2024.83289735926,2024.88617456964,NA,NA,NA
5195,5421,REU.3.1_1,REU.3.1_1,0.0151018760415005,0.275252172222986,0.260150296181486,2024.87169588938,2024.88679776542,NA,NA,NA
6048,6049,REU.3.1_1,REU.3.1_1,0.0257180054019698,0.276244739792961,0.250526734390991,2024.86207232759,2024.88779033299,NA,NA,NA
5736,5752,REU.3.1_1,REU.3.1_1,0.0561344432959139,0.277486209359382,0.221351766063468,2024.83289735926,2024.88903180255,NA,NA,NA
3486,3487,REU.4.3_1,REU.4.3_1,0.00946124390608494,0.278260498311286,0.268799254405201,2024.8803448476,2024.88980609151,NA,NA,NA
3176,3177,REU.3.1_1,REU.3.1_1,0.00980232543353232,0.281579419748211,0.271777094314679,2024.88332268751,2024.89312501294,NA,NA,NA
5757,2701,REU.3.1_1,REU.3.1_1,0.0339362393254403,0.281897029755771,0.24796079043033,2024.85950638363,2024.89344262295,CHIKV_RUN_S8b03_2024,55.367555,-21.25695
5453,5454,REU.3.1_1,REU.3.1_1,0.0504567281131153,0.284380764851939,0.233924036738824,2024.84546962993,2024.89592635805,NA,NA,NA
6049,6050,REU.3.1_1,REU.3.1_1,0.00894010957758018,0.285184849370541,0.276244739792961,2024.88779033299,2024.89673044257,NA,NA,NA
5197,5198,REU.3.1_1,REU.3.1_1,0.0236503329087778,0.286530882201914,0.262880549293137,2024.87442614249,2024.8980764754,NA,NA,NA
3487,3595,REU.4.3_1,REU.4.3_1,0.00849427241593237,0.286754770727219,0.278260498311286,2024.88980609151,2024.89830036392,NA,NA,NA
5870,2703,REU.3.1_1,REU.3.1_1,0.0903471649737411,0.28736151063025,0.197014345656509,2024.80855993885,2024.89890710383,CHIKV_RUN_S8b01_2024,55.365339,-21.256825
5147,5148,REU.3.1_1,REU.3.1_1,0.0335008384037492,0.288807524838964,0.255306686435215,2024.86685227963,2024.90035311803,NA,NA,NA
6149,6150,REU.3.1_1,REU.3.1_1,0.0326452808701255,0.290178482706764,0.257533201836639,2024.86907879503,2024.9017240759,NA,NA,NA
6150,6151,REU.3.1_1,REU.3.1_1,0.000175242622253768,0.290353725329018,0.290178482706764,2024.9017240759,2024.90189931852,NA,NA,NA
6049,6055,REU.3.1_1,REU.3.1_1,0.0154830553632715,0.291727795156232,0.276244739792961,2024.88779033299,2024.90327338835,NA,NA,NA
3747,3748,REU.4.3_1,REU.4.3_1,0.0643240603397486,0.292299361146888,0.22797530080714,2024.839520894,2024.90384495434,NA,NA,NA
5197,5242,REU.3.1_1,REU.3.1_1,0.0295534140274514,0.292433963320588,0.262880549293137,2024.87442614249,2024.90397955652,NA,NA,NA
3748,3749,REU.4.3_1,REU.4.3_1,0.000277430532455103,0.292576791679344,0.292299361146888,2024.90384495434,2024.90412238487,NA,NA,NA
5756,2400,REU.3.1_1,REU.3.1_1,0.0997555405495864,0.292825991504503,0.193070450954916,2024.80461604415,2024.9043715847,CHIKV_RUN_S8b06_2024,55.364925,-21.256758
3595,3596,REU.4.3_1,REU.4.3_1,0.00676203410243914,0.293516804829658,0.286754770727219,2024.89830036392,2024.90506239802,NA,NA,NA
5126,5127,REU.3.1_1,REU.3.1_1,0.0413081657279086,0.294734643455295,0.253426477727386,2024.86497207092,2024.90628023665,NA,NA,NA
5946,5951,REU.3.1_1,REU.3.1_1,0.0330826522317146,0.295332208292025,0.26224955606031,2024.87379514926,2024.90687780149,NA,NA,NA
5198,5199,REU.3.1_1,REU.3.1_1,0.00920682739561285,0.295737709597527,0.286530882201914,2024.8980764754,2024.90728330279,NA,NA,NA
5127,5128,REU.3.1_1,REU.3.1_1,0.00277723210707459,0.297511875562369,0.294734643455295,2024.90628023665,2024.90905746876,NA,NA,NA
6055,6056,REU.3.1_1,REU.3.1_1,0.0061377801228728,0.297865575279105,0.291727795156232,2024.90327338835,2024.90941116847,NA,NA,NA
4749,1768,REU.4.3_1,REU.4.3_1,0.0291346674499845,0.298290472378755,0.269155804928771,2024.88070139812,2024.90983606557,CHIKV_RUN_S8b04_2024,55.55342,-21.215457
5951,5952,REU.3.1_1,REU.3.1_1,0.00298749909925733,0.298319707391282,0.295332208292025,2024.90687780149,2024.90986530059,NA,NA,NA
5580,5637,REU.3.1_1,REU.4.5_1,0.0257087541741802,0.298381542388721,0.272672788214541,2024.88421838141,2024.90992713558,NA,NA,NA
3151,3152,REU.3.1_1,REU.3.1_1,0.0599579046185064,0.299853148568159,0.239895243949652,2024.85144083714,2024.91139874176,NA,NA,NA
4455,4456,REU.4.3_1,REU.4.3_1,0.0644271937957536,0.300017526022046,0.235590332226293,2024.84713592542,2024.91156311922,NA,NA,NA
3175,3229,REU.3.1_1,REU.3.1_1,0.0309976841942583,0.300600223971525,0.269602539777267,2024.88114813297,2024.91214581717,NA,NA,NA
5872,5873,REU.3.1_1,REU.3.4_1,0.0754927643132766,0.300890379839262,0.225397615525986,2024.83694320872,2024.91243597303,NA,NA,NA
6226,2003,REU.3.1_1,REU.3.1_1,0.0955807961203728,0.301022712815881,0.205441916695508,2024.81698750989,2024.91256830601,CHIKV_RUN_S8b07_2024,55.3668,-21.2598
6150,6171,REU.3.1_1,REU.3.1_1,0.0118964550547089,0.302074937761473,0.290178482706764,2024.9017240759,2024.91362053096,NA,NA,NA
3229,3231,REU.3.1_1,REU.3.1_1,0.0020901589845449,0.30269038295607,0.300600223971525,2024.91214581717,2024.91423597615,NA,NA,NA
3152,3153,REU.3.1_1,REU.3.1_1,0.00344471986780126,0.30329786843596,0.299853148568159,2024.91139874176,2024.91484346163,NA,NA,NA
4182,4183,REU.4.3_1,REU.4.3_1,0.036587788266793,0.303630035085836,0.267042246819043,2024.87858784001,2024.91517562828,NA,NA,NA
5242,5243,REU.3.1_1,REU.3.1_1,0.0115659053104207,0.303999868631009,0.292433963320588,2024.90397955652,2024.91554546183,NA,NA,NA
3122,3123,REU.3.1_1,REU.3.1_1,0.0762424549346937,0.304455221997963,0.22821276706327,2024.83975836026,2024.91600081519,NA,NA,NA
3235,3236,REU.3.1_1,REU.3.1_1,0.135367415845025,0.306069199569526,0.170701783724501,2024.78224737692,2024.91761479276,NA,NA,NA
3596,266,REU.4.3_1,REU.4.3_1,0.0129703888607032,0.306487193690361,0.293516804829658,2024.90506239802,2024.91803278689,CHIKV_RUN_S12b56_2024,55.50965,-21.285721
6171,6172,REU.3.1_1,REU.3.1_1,0.00480215192669664,0.30687708968817,0.302074937761473,2024.91362053096,2024.91842268288,NA,NA,NA
