node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,tipLabel,endLon,endLat
3115,3116,REU.3.5_1,REU.3.5_1,0.033726938378152,0.033726938378152,0,2024.5954424316,2024.62916936998,NA,NA,NA
3115,1,REU.3.5_1,REU.3.5_1,0.0220439071958697,0.0220439071958697,0,2024.5954424316,2024.6174863388,CHIKV_RUN_S06b01_2024,55.222994,-21.03531
3116,3117,REU.3.5_1,REU.3.5_1,0.0027468044034652,0.0364737427816172,0.033726938378152,2024.62916936998,2024.63191617438,NA,NA,NA
3117,3493,REU.3.5_1,REU.3.5_1,0.00599665599586341,0.0424703987774806,0.0364737427816172,2024.63191617438,2024.63791283038,NA,NA,NA
3493,3494,REU.3.5_1,REU.3.5_1,0.0128708283002301,0.0553412270777107,0.0424703987774806,2024.63791283038,2024.65078365868,NA,NA,NA
3494,2,REU.3.5_1,REU.3.5_1,0.00222180580125386,0.0575630328789646,0.0553412270777107,2024.65078365868,2024.65300546448,CHIKV_RUN_S2b92_2024,55.222994,-21.03531
3116,3741,REU.3.5_1,REU.3.5_1,0.0362259532474384,0.0699528916255904,0.033726938378152,2024.62916936998,2024.66539532323,NA,NA,NA
3741,2588,REU.3.5_1,REU.3.5_1,0.00673582431348474,0.0766887159390751,0.0699528916255904,2024.66539532323,2024.67213114754,CHIKV_RUN_S2b93_2024,55.223179,-21.035738
3493,3495,REU.3.5_1,REU.3.5_1,0.0350629871862794,0.07753338596376,0.0424703987774806,2024.63791283038,2024.67297581757,NA,NA,NA
3741,3742,REU.3.5_1,REU.3.5_1,0.00872391311123,0.0786768047368204,0.0699528916255904,2024.66539532323,2024.67411923634,NA,NA,NA
3495,3114,REU.3.5_1,REU.3.5_1,0.023745493909678,0.101278879873438,0.07753338596376,2024.67297581757,2024.69672131148,CHIKV_RUN_S3b83_2024,55.222489,-21.036097
3494,1769,REU.3.5_1,REU.3.4_1,0.0568666145444593,0.11220784162217,0.0553412270777107,2024.65078365868,2024.70765027322,CHIKV_RUN_S3b82_2024,55.288681,-21.171711
3742,5454,REU.3.5_1,REU.3.1_1,0.0406767666065037,0.119353571343324,0.0786768047368204,2024.67411923634,2024.71479600295,NA,NA,NA
5454,5638,REU.3.1_1,REU.3.1_1,0.00937942115858836,0.128732992501912,0.119353571343324,2024.71479600295,2024.7241754241,NA,NA,NA
3117,3118,REU.3.5_1,REU.3.5_1,0.092543524314568,0.129017267096185,0.0364737427816172,2024.63191617438,2024.7244596987,NA,NA,NA
3118,2399,REU.3.5_1,REU.3.5_1,0.0105129788974738,0.139530245993659,0.129017267096185,2024.7244596987,2024.7349726776,CHIKV_RUN_S12b41_2024,55.224204,-21.078267
3742,3743,REU.3.5_1,REU.4.3_1,0.0610284407249921,0.139705245461813,0.0786768047368204,2024.67411923634,2024.73514767706,NA,NA,NA
3743,3848,REU.4.3_1,REU.4.3_1,0.006054209521276,0.145759454983089,0.139705245461813,2024.73514767706,2024.74120188659,NA,NA,NA
5638,5639,REU.3.1_1,REU.3.1_1,0.0336860340522573,0.16241902655417,0.128732992501912,2024.7241754241,2024.75786145816,NA,NA,NA
5639,5640,REU.3.1_1,REU.3.1_1,0.0031342192287418,0.165553245782912,0.16241902655417,2024.75786145816,2024.76099567738,NA,NA,NA
3495,3496,REU.3.5_1,REU.3.1_1,0.0889304475798933,0.166463833543653,0.07753338596376,2024.67297581757,2024.76190626515,NA,NA,NA
3848,4810,REU.4.3_1,REU.4.3_1,0.0283919934870317,0.17415144847012,0.145759454983089,2024.74120188659,2024.76959388007,NA,NA,NA
3496,3497,REU.3.1_1,REU.3.1_1,0.0199795570883574,0.186443390632011,0.166463833543653,2024.76190626515,2024.78188582223,NA,NA,NA
5454,5455,REU.3.1_1,REU.3.1_1,0.0729181505697195,0.192271721913044,0.119353571343324,2024.71479600295,2024.78771415352,NA,NA,NA
3848,3849,REU.4.3_1,REU.4.3_1,0.0467671476713142,0.192526602654403,0.145759454983089,2024.74120188659,2024.78796903426,NA,NA,NA
3849,3850,REU.4.3_1,REU.4.3_1,0.00334976356907979,0.195876366223482,0.192526602654403,2024.78796903426,2024.79131879783,NA,NA,NA
5639,5946,REU.3.1_1,REU.3.1_1,0.0369069437400695,0.199325970294239,0.16241902655417,2024.75786145816,2024.7947684019,NA,NA,NA
4810,4811,REU.4.3_1,REU.4.3_1,0.0259911966827062,0.200142645152826,0.17415144847012,2024.76959388007,2024.79558507675,NA,NA,NA
5640,5641,REU.3.1_1,REU.3.1_1,0.0363621934288194,0.201915439211731,0.165553245782912,2024.76099567738,2024.79735787081,NA,NA,NA
4810,4983,REU.4.3_1,REU.4.3_1,0.0345744813974653,0.208725929867586,0.17415144847012,2024.76959388007,2024.80416836147,NA,NA,NA
5641,5642,REU.3.1_1,REU.3.1_1,0.0102168979083793,0.21213233712011,0.201915439211731,2024.79735787081,2024.80757476872,NA,NA,NA
5455,5457,REU.3.1_1,REU.3.1_1,0.0221186200439273,0.214390341956971,0.192271721913044,2024.78771415352,2024.80983277356,NA,NA,NA
5946,2587,REU.3.1_1,REU.3.5_1,0.0194392483769881,0.218765218671227,0.199325970294239,2024.7947684019,2024.81420765027,CHIKV_RUN_S4b3_2024,55.231193,-21.051375
5946,5947,REU.3.1_1,REU.3.1_1,0.0249568067720485,0.224282777066288,0.199325970294239,2024.7947684019,2024.81972520867,NA,NA,NA
3743,3744,REU.4.3_1,REU.3.5_1,0.0847530555048656,0.224458300966678,0.139705245461813,2024.73514767706,2024.81990073257,NA,NA,NA
4811,4812,REU.4.3_1,REU.4.3_1,0.0252246223428494,0.225367267495676,0.200142645152826,2024.79558507675,2024.8208096991,NA,NA,NA
5642,5750,REU.3.1_1,REU.3.1_1,0.0159571333742028,0.228089470494313,0.21213233712011,2024.80757476872,2024.8235319021,NA,NA,NA
3850,3851,REU.4.3_1,REU.4.3_1,0.0342142139824037,0.230090580205886,0.195876366223482,2024.79131879783,2024.82553301181,NA,NA,NA
3497,3498,REU.3.1_1,REU.3.1_1,0.0443064565141025,0.230749847146113,0.186443390632011,2024.78188582223,2024.82619227875,NA,NA,NA
4983,5060,REU.4.3_1,REU.4.3_1,0.0245509266206996,0.233276856488285,0.208725929867586,2024.80416836147,2024.82871928809,NA,NA,NA
5750,5751,REU.3.1_1,REU.3.1_1,0.00872762823259099,0.236817098726904,0.228089470494313,2024.8235319021,2024.83225953033,NA,NA,NA
5947,5948,REU.3.1_1,REU.3.1_1,0.0158154791875046,0.240098256253792,0.224282777066288,2024.81972520867,2024.83554068786,NA,NA,NA
