node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,tipLabel,endLon,endLat
3115,1,REU.3.5_1,REU.3.5_1,0.0260255808751269,0.0260255808751269,0,2024.59146075792,2024.6174863388,CHIKV_RUN_S06b01_2024,55.222994,-21.03531
3115,3116,REU.3.5_1,REU.3.5_1,0.0321959740053863,0.0321959740053863,0,2024.59146075792,2024.62365673193,NA,NA,NA
3116,3117,REU.3.5_1,REU.3.5_1,0.00780401249745877,0.0399999865028451,0.0321959740053863,2024.62365673193,2024.63146074443,NA,NA,NA
3117,4381,REU.3.5_1,REU.3.5_1,0.0153904215501515,0.0553904080529966,0.0399999865028451,2024.63146074443,2024.64685116598,NA,NA,NA
4381,4382,REU.3.5_1,REU.3.5_1,0.000961278934591969,0.0563516869875885,0.0553904080529966,2024.64685116598,2024.64781244491,NA,NA,NA
3116,2,REU.3.5_1,REU.3.5_1,0.0293487325528354,0.0615447065582218,0.0321959740053863,2024.62365673193,2024.65300546448,CHIKV_RUN_S2b92_2024,55.222994,-21.03531
3117,3118,REU.3.5_1,REU.3.5_1,0.0316188380163984,0.0716188245192435,0.0399999865028451,2024.63146074443,2024.66307958244,NA,NA,NA
4381,2588,REU.3.5_1,REU.3.5_1,0.0252799815653357,0.0806703896183323,0.0553904080529966,2024.64685116598,2024.67213114754,CHIKV_RUN_S2b93_2024,55.223179,-21.035738
3118,3119,REU.3.5_1,REU.3.1_1,0.0166178144467595,0.088236638966003,0.0716188245192435,2024.66307958244,2024.67969739689,NA,NA,NA
3118,3114,REU.3.5_1,REU.3.5_1,0.0336417290334516,0.105260553552695,0.0716188245192435,2024.66307958244,2024.69672131148,CHIKV_RUN_S3b83_2024,55.222489,-21.036097
4382,4383,REU.3.5_1,REU.4.8_1,0.0524014284964084,0.108753115483997,0.0563516869875885,2024.64781244491,2024.70021387341,NA,NA,NA
4382,6092,REU.3.5_1,REU.3.1_1,0.0554372262511874,0.111788913238776,0.0563516869875885,2024.64781244491,2024.70324967116,NA,NA,NA
4383,1769,REU.4.8_1,REU.3.4_1,0.00743639981743027,0.116189515301427,0.108753115483997,2024.70021387341,2024.70765027322,CHIKV_RUN_S3b82_2024,55.288681,-21.171711
6092,6093,REU.3.1_1,REU.3.1_1,0.00879820838950462,0.120587121628281,0.111788913238776,2024.70324967116,2024.71204787955,NA,NA,NA
3119,3604,REU.3.1_1,REU.3.1_1,0.043099679705795,0.131336318671798,0.088236638966003,2024.67969739689,2024.72279707659,NA,NA,NA
3604,3921,REU.3.1_1,REU.3.1_1,0.00304382555313554,0.134380144224933,0.131336318671798,2024.72279707659,2024.72584090215,NA,NA,NA
3604,3605,REU.3.1_1,REU.3.1_1,0.0107049519702611,0.142041270642059,0.131336318671798,2024.72279707659,2024.73350202856,NA,NA,NA
3921,2399,REU.3.1_1,REU.3.5_1,0.00913177544798272,0.143511919672916,0.134380144224933,2024.72584090215,2024.7349726776,CHIKV_RUN_S12b41_2024,55.224204,-21.078267
3605,3913,REU.3.1_1,REU.3.1_1,0.0220150336060017,0.164056304248061,0.142041270642059,2024.73350202856,2024.75551706217,NA,NA,NA
3119,3120,REU.3.1_1,REU.3.1_1,0.0771827597980599,0.165419398764063,0.088236638966003,2024.67969739689,2024.75688015669,NA,NA,NA
4383,4384,REU.4.8_1,REU.4.3_1,0.0611296273862997,0.169882742870297,0.108753115483997,2024.70021387341,2024.76134350079,NA,NA,NA
4384,4385,REU.4.3_1,REU.4.3_1,0.00929198715287816,0.179174730023175,0.169882742870297,2024.76134350079,2024.77063548795,NA,NA,NA
3921,3922,REU.3.1_1,REU.3.1_1,0.0569155260720293,0.191295670296963,0.134380144224933,2024.72584090215,2024.78275642822,NA,NA,NA
4385,4386,REU.4.3_1,REU.4.3_1,0.0182247377138544,0.197399467737029,0.179174730023175,2024.77063548795,2024.78886022566,NA,NA,NA
4386,4613,REU.4.3_1,REU.4.3_1,0.00349343597378615,0.200892903710815,0.197399467737029,2024.78886022566,2024.79235366163,NA,NA,NA
4613,5228,REU.4.3_1,REU.4.3_1,0.000654486452083991,0.201547390162899,0.200892903710815,2024.79235366163,2024.79300814809,NA,NA,NA
3922,3923,REU.3.1_1,REU.3.1_1,0.022699886964491,0.213995557261454,0.191295670296963,2024.78275642822,2024.80545631518,NA,NA,NA
4384,5804,REU.4.3_1,REU.4.3_1,0.0463126780075146,0.216195420877811,0.169882742870297,2024.76134350079,2024.8076561788,NA,NA,NA
5228,5229,REU.4.3_1,REU.4.3_1,0.0162218142076362,0.217769204370535,0.201547390162899,2024.79300814809,2024.80922996229,NA,NA,NA
5229,5264,REU.4.3_1,REU.4.3_1,0.000722315808126206,0.218491520178662,0.217769204370535,2024.80922996229,2024.8099522781,NA,NA,NA
3120,3203,REU.3.1_1,REU.3.1_1,0.0543682090690214,0.219787607833084,0.165419398764063,2024.75688015669,2024.81124836576,NA,NA,NA
3120,3121,REU.3.1_1,REU.3.1_1,0.0549174471852938,0.220336845949357,0.165419398764063,2024.75688015669,2024.81179760387,NA,NA,NA
3203,3204,REU.3.1_1,REU.3.1_1,0.00203617539564838,0.221823783228733,0.219787607833084,2024.81124836576,2024.81328454115,NA,NA,NA
3923,2587,REU.3.1_1,REU.3.5_1,0.0087513350890307,0.222746892350485,0.213995557261454,2024.80545631518,2024.81420765027,CHIKV_RUN_S4b3_2024,55.231193,-21.051375
3203,3238,REU.3.1_1,REU.3.1_1,0.00299371300585194,0.222781320838936,0.219787607833084,2024.81124836576,2024.81424207876,NA,NA,NA
6092,6198,REU.3.1_1,REU.3.1_1,0.117312043233278,0.229100956472054,0.111788913238776,2024.70324967116,2024.82056171439,NA,NA,NA
5264,5265,REU.4.3_1,REU.4.3_1,0.0120255768457682,0.23051709702443,0.218491520178662,2024.8099522781,2024.82197785495,NA,NA,NA
3204,3232,REU.3.1_1,REU.3.1_1,0.0102352821278129,0.232059065356546,0.221823783228733,2024.81328454115,2024.82351982328,NA,NA,NA
4613,4614,REU.4.3_1,REU.4.3_1,0.0345057563366556,0.235398660047471,0.200892903710815,2024.79235366163,2024.82685941797,NA,NA,NA
5265,5380,REU.4.3_1,REU.4.3_1,0.006446801942537,0.236963898966967,0.23051709702443,2024.82197785495,2024.82842465689,NA,NA,NA
3238,3292,REU.3.1_1,REU.3.1_1,0.0161150758923818,0.238896396731318,0.222781320838936,2024.81424207876,2024.83035715465,NA,NA,NA
3605,3606,REU.3.1_1,REU.3.1_1,0.0973348934728664,0.239376164114925,0.142041270642059,2024.73350202856,2024.83083692204,NA,NA,NA
3292,3322,REU.3.1_1,REU.3.1_1,0.00180452123071884,0.240700917962037,0.238896396731318,2024.83035715465,2024.83216167588,NA,NA,NA
3232,3233,REU.3.1_1,REU.3.1_1,0.0117724384579994,0.243831503814545,0.232059065356546,2024.82351982328,2024.83529226174,NA,NA,NA
5380,5461,REU.4.3_1,REU.4.3_1,0.00719362858534567,0.244157527552313,0.236963898966967,2024.82842465689,2024.83561828547,NA,NA,NA
3292,3293,REU.3.1_1,REU.3.1_1,0.00688962715660923,0.245786023887927,0.238896396731318,2024.83035715465,2024.83724678181,NA,NA,NA
5264,5578,REU.4.3_1,REU.4.3_1,0.0290304851738432,0.247522005352505,0.218491520178662,2024.8099522781,2024.83898276328,NA,NA,NA
3293,3294,REU.3.1_1,REU.3.1_1,0.00267842463982948,0.248464448527757,0.245786023887927,2024.83724678181,2024.83992520645,NA,NA,NA
4385,637,REU.4.3_1,REU.3.5_1,0.0736268071361523,0.252801537159327,0.179174730023175,2024.77063548795,2024.84426229508,CHIKV_RUN_S5b01_2024,55.223821,-21.079274
3322,3444,REU.3.1_1,REU.3.1_1,0.0124478143964207,0.253148732358458,0.240700917962037,2024.83216167588,2024.84460949028,NA,NA,NA
3606,3607,REU.3.1_1,REU.3.1_1,0.0148864653530704,0.254262629467996,0.239376164114925,2024.83083692204,2024.84572338739,NA,NA,NA
4614,4615,REU.4.3_1,REU.4.3_1,0.0208171605627984,0.256215820610269,0.235398660047471,2024.82685941797,2024.84767657853,NA,NA,NA
3322,3323,REU.3.1_1,REU.3.1_1,0.0192818864082014,0.259982804370238,0.240700917962037,2024.83216167588,2024.85144356229,NA,NA,NA
6093,6154,REU.3.1_1,REU.3.1_1,0.144128635640331,0.264715757268612,0.120587121628281,2024.71204787955,2024.85617651519,NA,NA,NA
3204,3205,REU.3.1_1,REU.3.1_1,0.043816608232359,0.265640391461092,0.221823783228733,2024.81328454115,2024.85710114938,NA,NA,NA
3121,3148,REU.3.1_1,REU.3.1_1,0.0453964290946498,0.265733275044006,0.220336845949357,2024.81179760387,2024.85719403297,NA,NA,NA
3607,3753,REU.3.1_1,REU.3.1_1,0.0117414311513003,0.266004060619296,0.254262629467996,2024.84572338739,2024.85746481854,NA,NA,NA
3923,3924,REU.3.1_1,REU.3.1_1,0.0542358353799391,0.268231392641393,0.213995557261454,2024.80545631518,2024.85969215056,NA,NA,NA
5265,5266,REU.4.3_1,REU.4.3_1,0.0386822832584928,0.269199380282923,0.23051709702443,2024.82197785495,2024.86066013821,NA,NA,NA
3444,3445,REU.3.1_1,REU.3.1_1,0.0169251567202835,0.270073889078741,0.253148732358458,2024.84460949028,2024.861534647,NA,NA,NA
3922,4346,REU.3.1_1,REU.3.1_1,0.0789542465611315,0.270249916858094,0.191295670296963,2024.78275642822,2024.86171067478,NA,NA,NA
6154,6155,REU.3.1_1,REU.3.1_1,0.0059614282751369,0.270677185543749,0.264715757268612,2024.85617651519,2024.86213794347,NA,NA,NA
3924,3925,REU.3.1_1,REU.3.1_1,0.00247922275676482,0.270710615398158,0.268231392641393,2024.85969215056,2024.86217137332,NA,NA,NA
3925,4086,REU.3.1_1,REU.3.1_1,0.00137001636346779,0.272080631761626,0.270710615398158,2024.86217137332,2024.86354138968,NA,NA,NA
3444,3501,REU.3.1_1,REU.3.1_1,0.0193386409098196,0.272487373268277,0.253148732358458,2024.84460949028,2024.86394813119,NA,NA,NA
5380,5381,REU.4.3_1,REU.4.3_1,0.0374735470639036,0.27443744603087,0.236963898966967,2024.82842465689,2024.86589820395,NA,NA,NA
5266,5267,REU.4.3_1,REU.4.3_1,0.00534831921532686,0.27454769949825,0.269199380282923,2024.86066013821,2024.86600845742,NA,NA,NA
3924,4343,REU.3.1_1,REU.3.1_1,0.00673484287205306,0.274966235513446,0.268231392641393,2024.85969215056,2024.86642699344,NA,NA,NA
3913,3914,REU.3.1_1,REU.3.1_1,0.111571747448432,0.275628051696492,0.164056304248061,2024.75551706217,2024.86708880962,NA,NA,NA
4086,4087,REU.3.1_1,REU.3.1_1,0.00369263575073897,0.275773267512365,0.272080631761626,2024.86354138968,2024.86723402543,NA,NA,NA
5228,1699,REU.4.3_1,REU.3.5_1,0.0758443109307907,0.27739170109369,0.201547390162899,2024.79300814809,2024.86885245902,CHIKV_RUN_S5b06_2024,55.225315,-21.079569
5804,5805,REU.4.3_1,REU.4.3_1,0.06136863045333,0.277564051331141,0.216195420877811,2024.8076561788,2024.86902480925,NA,NA,NA
4615,4616,REU.4.3_1,REU.4.3_1,0.0213554430767459,0.277571263687015,0.256215820610269,2024.84767657853,2024.86903202161,NA,NA,NA
3501,3530,REU.3.1_1,REU.3.1_1,0.00545153969864631,0.277938912966924,0.272487373268277,2024.86394813119,2024.86939967089,NA,NA,NA
5267,5268,REU.4.3_1,REU.4.3_1,0.00399786407882774,0.278545563577077,0.27454769949825,2024.86600845742,2024.8700063215,NA,NA,NA
3925,3926,REU.3.1_1,REU.3.1_1,0.00894201669669537,0.279652632094853,0.270710615398158,2024.86217137332,2024.87111339002,NA,NA,NA
5461,5462,REU.4.3_1,REU.4.3_1,0.035513338433063,0.279670865985376,0.244157527552313,2024.83561828547,2024.87113162391,NA,NA,NA
4616,1755,REU.4.3_1,REU.4.3_1,0.00528491828092714,0.282856181967942,0.277571263687015,2024.86903202161,2024.87431693989,CHIKV_RUN_S12b01_2024,55.507669,-21.286309
4614,4949,REU.4.3_1,REU.4.3_1,0.0501196182396061,0.285518278287077,0.235398660047471,2024.82685941797,2024.87697903621,NA,NA,NA
6198,6199,REU.3.1_1,REU.3.1_1,0.0575186310612488,0.286619587533303,0.229100956472054,2024.82056171439,2024.87808034546,NA,NA,NA
3233,1919,REU.3.1_1,REU.3.1_1,0.0444891590278771,0.288320662842422,0.243831503814545,2024.83529226174,2024.87978142077,CHIKV_RUN_S5b09_2024,55.365166,-21.257606
4949,4950,REU.4.3_1,REU.4.3_1,0.00330176268492954,0.288820040972007,0.285518278287077,2024.87697903621,2024.88028079889,NA,NA,NA
3233,3234,REU.3.1_1,REU.3.1_1,0.0460265511104904,0.289858054925035,0.243831503814545,2024.83529226174,2024.88131881285,NA,NA,NA
3445,3446,REU.3.1_1,REU.3.1_1,0.0205463855511787,0.29062027462992,0.270073889078741,2024.861534647,2024.88208103255,NA,NA,NA
3294,3295,REU.3.1_1,REU.3.1_1,0.0427975711338985,0.291262019661655,0.248464448527757,2024.83992520645,2024.88272277758,NA,NA,NA
4346,4347,REU.3.1_1,REU.3.1_1,0.02146598921999,0.291715906078084,0.270249916858094,2024.86171067478,2024.883176664,NA,NA,NA
3148,3150,REU.3.1_1,REU.3.1_1,0.0286171580713862,0.294350433115393,0.265733275044006,2024.85719403297,2024.88581119104,NA,NA,NA
5268,5269,REU.4.3_1,REU.4.3_1,0.0174070034474019,0.295952567024479,0.278545563577077,2024.8700063215,2024.88741332495,NA,NA,NA
6155,6157,REU.3.1_1,REU.3.1_1,0.0253220715131669,0.295999257056916,0.270677185543749,2024.86213794347,2024.88746001498,NA,NA,NA
3926,3927,REU.3.1_1,REU.3.1_1,0.0165393020100411,0.296191934104894,0.279652632094853,2024.87111339002,2024.88765269203,NA,NA,NA
4087,4088,REU.3.1_1,REU.3.1_1,0.0204605316396439,0.296233799152008,0.275773267512365,2024.86723402543,2024.88769455707,NA,NA,NA
4950,4952,REU.4.3_1,REU.4.3_1,0.00767554032222828,0.296495581294235,0.288820040972007,2024.88028079889,2024.88795633922,NA,NA,NA
