node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,tipLabel,endLon,endLat
3115,1,REU.3.5_1,REU.3.5_1,0.0151775548041068,0.0151775548041068,0,2024.60230878399,2024.6174863388,CHIKV_RUN_S06b01_2024,55.222994,-21.03531
3115,3116,REU.3.5_1,REU.3.5_1,0.0156942706944257,0.0156942706944257,0,2024.60230878399,2024.61800305469,NA,NA,NA
3116,2,REU.3.5_1,REU.3.5_1,0.0350024097927759,0.0506966804872017,0.0156942706944257,2024.61800305469,2024.65300546448,CHIKV_RUN_S2b92_2024,55.222994,-21.03531
3116,3117,REU.3.5_1,REU.3.5_1,0.0444922715398967,0.0601865422343224,0.0156942706944257,2024.61800305469,2024.66249532623,NA,NA,NA
3117,3118,REU.3.5_1,REU.3.5_1,0.00403316754817484,0.0642197097824972,0.0601865422343224,2024.66249532623,2024.66652849378,NA,NA,NA
3118,5307,REU.3.5_1,REU.3.1_1,0.00150130769596646,0.0657210174784637,0.0642197097824972,2024.66652849378,2024.66802980147,NA,NA,NA
3118,3119,REU.3.5_1,REU.3.5_1,0.00470891134580387,0.0689286211283011,0.0642197097824972,2024.66652849378,2024.67123740512,NA,NA,NA
3119,2588,REU.3.5_1,REU.3.5_1,0.000893742419011079,0.0698223635473122,0.0689286211283011,2024.67123740512,2024.67213114754,CHIKV_RUN_S2b93_2024,55.223179,-21.035738
3117,6006,REU.3.5_1,REU.3.5_1,0.0324039928278754,0.0925905350621978,0.0601865422343224,2024.66249532623,2024.69489931906,NA,NA,NA
6006,3114,REU.3.5_1,REU.3.5_1,0.00182199241947723,0.0944125274816751,0.0925905350621978,2024.69489931906,2024.69672131148,CHIKV_RUN_S3b83_2024,55.222489,-21.036097
6006,6007,REU.3.5_1,REU.3.5_1,0.00192391995923702,0.0945144550214349,0.0925905350621978,2024.69489931906,2024.69682323902,NA,NA,NA
5307,1769,REU.3.1_1,REU.3.4_1,0.0396204717519434,0.105341489230407,0.0657210174784637,2024.66802980147,2024.70765027322,CHIKV_RUN_S3b82_2024,55.288681,-21.171711
6007,6008,REU.3.5_1,REU.3.5_1,0.0146464393778124,0.109160894399247,0.0945144550214349,2024.69682323902,2024.71146967839,NA,NA,NA
3119,3120,REU.3.5_1,REU.3.1_1,0.0507195776217385,0.11964819875004,0.0689286211283011,2024.67123740512,2024.72195698274,NA,NA,NA
6007,2399,REU.3.5_1,REU.3.5_1,0.0381494385804613,0.132663893601896,0.0945144550214349,2024.69682323902,2024.7349726776,CHIKV_RUN_S12b41_2024,55.224204,-21.078267
3120,4827,REU.3.1_1,REU.3.1_1,0.0173934746634976,0.137041673413537,0.11964819875004,2024.72195698274,2024.73935045741,NA,NA,NA
3120,3121,REU.3.1_1,REU.4.3_1,0.0288597859318153,0.148507984681855,0.11964819875004,2024.72195698274,2024.75081676868,NA,NA,NA
4827,4887,REU.3.1_1,REU.3.1_1,0.0164989241176465,0.153540597531184,0.137041673413537,2024.73935045741,2024.75584938152,NA,NA,NA
4827,4828,REU.3.1_1,REU.3.1_1,0.0281738005761291,0.165215473989666,0.137041673413537,2024.73935045741,2024.76752425798,NA,NA,NA
5307,5308,REU.3.1_1,REU.3.1_1,0.104685900835385,0.170406918313849,0.0657210174784637,2024.66802980147,2024.77271570231,NA,NA,NA
5308,5467,REU.3.1_1,REU.3.1_1,0.00207934353087957,0.172486261844728,0.170406918313849,2024.77271570231,2024.77479504584,NA,NA,NA
3121,3769,REU.4.3_1,REU.4.3_1,0.035416215944844,0.183924200626699,0.148507984681855,2024.75081676868,2024.78623298462,NA,NA,NA
4828,4829,REU.3.1_1,REU.3.1_1,0.024011424631683,0.189226898621349,0.165215473989666,2024.76752425798,2024.79153568261,NA,NA,NA
4887,5031,REU.3.1_1,REU.3.1_1,0.0413361636833123,0.194876761214496,0.153540597531184,2024.75584938152,2024.79718554521,NA,NA,NA
5467,5468,REU.3.1_1,REU.3.1_1,0.0332698984246755,0.205756160269404,0.172486261844728,2024.77479504584,2024.80806494426,NA,NA,NA
4828,2587,REU.3.1_1,REU.3.5_1,0.0466833922897981,0.211898866279464,0.165215473989666,2024.76752425798,2024.81420765027,CHIKV_RUN_S4b3_2024,55.231193,-21.051375
5468,5469,REU.3.1_1,REU.3.1_1,0.0122028702528565,0.21795903052226,0.205756160269404,2024.80806494426,2024.82026781452,NA,NA,NA
3769,3770,REU.4.3_1,REU.4.3_1,0.0349292840427572,0.218853484669456,0.183924200626699,2024.78623298462,2024.82116226866,NA,NA,NA
5031,5032,REU.3.1_1,REU.3.1_1,0.0246077435343979,0.219484504748894,0.194876761214496,2024.79718554521,2024.82179328874,NA,NA,NA
5469,5470,REU.3.1_1,REU.3.1_1,0.0021671446796141,0.220126175201874,0.21795903052226,2024.82026781452,2024.8224349592,NA,NA,NA
