node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,tipLabel,endLon,endLat
3115,3116,REU.3.5_1,REU.3.5_1,0.00258483257509301,0.00258483257509301,0,2024.61037909196,2024.61296392453,NA,NA,NA
3116,1,REU.3.5_1,REU.3.5_1,0.00452241426543465,0.00710724684052766,0.00258483257509301,2024.61296392453,2024.6174863388,CHIKV_RUN_S06b01_2024,55.222994,-21.03531
3115,5514,REU.3.5_1,REU.3.5_1,0.0193030896464959,0.0193030896464959,0,2024.61037909196,2024.6296821816,NA,NA,NA
3116,3117,REU.3.5_1,REU.3.5_1,0.035090475480726,0.037675308055819,0.00258483257509301,2024.61296392453,2024.64805440001,NA,NA,NA
3117,2,REU.3.5_1,REU.3.5_1,0.00495106446780358,0.0426263725236226,0.037675308055819,2024.64805440001,2024.65300546448,CHIKV_RUN_S2b92_2024,55.222994,-21.03531
5514,5702,REU.3.5_1,REU.3.5_1,0.0384472090958679,0.0577502987423637,0.0193030896464959,2024.6296821816,2024.6681293907,NA,NA,NA
5702,5703,REU.3.5_1,REU.3.5_1,0.0022732185058737,0.0600235172482374,0.0577502987423637,2024.6681293907,2024.67040260921,NA,NA,NA
5703,2588,REU.3.5_1,REU.3.5_1,0.00172853833549569,0.0617520555837331,0.0600235172482374,2024.67040260921,2024.67213114754,CHIKV_RUN_S2b93_2024,55.223179,-21.035738
5703,5704,REU.3.5_1,REU.3.5_1,0.0068453513142559,0.0668688685624933,0.0600235172482374,2024.67040260921,2024.67724796052,NA,NA,NA
3117,3118,REU.3.5_1,REU.3.5_1,0.0329890205327262,0.0706643285885452,0.037675308055819,2024.64805440001,2024.68104342055,NA,NA,NA
3118,3119,REU.3.5_1,REU.3.5_1,0.00898908012579958,0.0796534087143448,0.0706643285885452,2024.68104342055,2024.69003250067,NA,NA,NA
5702,3114,REU.3.5_1,REU.3.5_1,0.0285919207757322,0.086342219518096,0.0577502987423637,2024.6681293907,2024.69672131148,CHIKV_RUN_S3b83_2024,55.222489,-21.036097
3119,3120,REU.3.5_1,REU.3.1_1,0.0154468176585747,0.0951002263729195,0.0796534087143448,2024.69003250067,2024.70547931833,NA,NA,NA
3119,1769,REU.3.5_1,REU.3.4_1,0.0176177725524832,0.097271181266828,0.0796534087143448,2024.69003250067,2024.70765027322,CHIKV_RUN_S3b82_2024,55.288681,-21.171711
3118,4885,REU.3.5_1,REU.3.5_1,0.0450993715208691,0.115763700109414,0.0706643285885452,2024.68104342055,2024.72614279207,NA,NA,NA
3120,3181,REU.3.1_1,REU.4.3_1,0.0263354409595693,0.121435667332489,0.0951002263729195,2024.70547931833,2024.73181475929,NA,NA,NA
4885,2399,REU.3.5_1,REU.3.5_1,0.00882988552890274,0.124593585638317,0.115763700109414,2024.72614279207,2024.7349726776,CHIKV_RUN_S12b41_2024,55.224204,-21.078267
3181,3753,REU.4.3_1,REU.4.3_1,0.0200975120825758,0.141533179415065,0.121435667332489,2024.73181475929,2024.75191227137,NA,NA,NA
3753,3754,REU.4.3_1,REU.4.3_1,0.00292998999612293,0.144463169411188,0.141533179415065,2024.75191227137,2024.75484226137,NA,NA,NA
5704,5705,REU.3.5_1,REU.3.1_1,0.0811669972645181,0.148035865827011,0.0668688685624933,2024.67724796052,2024.75841495778,NA,NA,NA
4885,4886,REU.3.5_1,REU.3.1_1,0.036801561643178,0.152565261752592,0.115763700109414,2024.72614279207,2024.76294435371,NA,NA,NA
3754,3755,REU.4.3_1,REU.4.3_1,0.0125282294832305,0.156991398894418,0.144463169411188,2024.75484226137,2024.76737049085,NA,NA,NA
3755,3756,REU.4.3_1,REU.4.3_1,0.00165473973556318,0.158646138629981,0.156991398894418,2024.76737049085,2024.76902523059,NA,NA,NA
4886,4935,REU.3.1_1,REU.3.1_1,0.0111093216076708,0.163674583360263,0.152565261752592,2024.76294435371,2024.77405367532,NA,NA,NA
5704,6123,REU.3.5_1,REU.3.5_1,0.0992159010630375,0.166084769625531,0.0668688685624933,2024.67724796052,2024.77646386158,NA,NA,NA
3753,4598,REU.4.3_1,REU.4.3_1,0.0434482135532104,0.184981392968275,0.141533179415065,2024.75191227137,2024.79536048493,NA,NA,NA
3181,3182,REU.4.3_1,REU.4.3_1,0.0666946961747861,0.188130363507275,0.121435667332489,2024.73181475929,2024.79850945546,NA,NA,NA
4935,4936,REU.3.1_1,REU.3.1_1,0.0278234110693447,0.191497994429608,0.163674583360263,2024.77405367532,2024.80187708639,NA,NA,NA
5514,5515,REU.3.5_1,REU.3.1_1,0.172791989867818,0.192095079514313,0.0193030896464959,2024.6296821816,2024.80247417147,NA,NA,NA
4598,4603,REU.4.3_1,REU.4.3_1,0.00847506013249455,0.19345645310077,0.184981392968275,2024.79536048493,2024.80383554506,NA,NA,NA
4936,4937,REU.3.1_1,REU.3.1_1,0.00220209750271305,0.193700091932321,0.191497994429608,2024.80187708639,2024.80407918389,NA,NA,NA
3755,4160,REU.4.3_1,REU.4.3_1,0.0413957472155667,0.198387146109985,0.156991398894418,2024.76737049085,2024.80876623807,NA,NA,NA
4886,4887,REU.3.1_1,REU.3.1_1,0.0502358960607145,0.202801157813307,0.152565261752592,2024.76294435371,2024.81318024977,NA,NA,NA
5515,2587,REU.3.1_1,REU.3.5_1,0.0117334788015719,0.203828558315885,0.192095079514313,2024.80247417147,2024.81420765027,CHIKV_RUN_S4b3_2024,55.231193,-21.051375
4937,4938,REU.3.1_1,REU.3.1_1,0.0159344325058043,0.209634524438125,0.193700091932321,2024.80407918389,2024.8200136164,NA,NA,NA
4936,5253,REU.3.1_1,REU.3.1_1,0.0194700514463082,0.210968045875916,0.191497994429608,2024.80187708639,2024.82134713783,NA,NA,NA
5705,5706,REU.3.1_1,REU.3.1_1,0.0654793783203921,0.213515244147404,0.148035865827011,2024.75841495778,2024.8238943361,NA,NA,NA
3756,3757,REU.4.3_1,REU.4.3_1,0.0610889144464125,0.219735053076394,0.158646138629981,2024.76902523059,2024.83011414503,NA,NA,NA
4603,4817,REU.4.3_1,REU.4.3_1,0.0267047755324432,0.220161228633213,0.19345645310077,2024.80383554506,2024.83054032059,NA,NA,NA
5706,5820,REU.3.1_1,REU.3.1_1,0.00800181875018913,0.221517062897593,0.213515244147404,2024.8238943361,2024.83189615485,NA,NA,NA
5820,5821,REU.3.1_1,REU.3.1_1,0.00240285350013125,0.223919916397724,0.221517062897593,2024.83189615485,2024.83429900835,NA,NA,NA
4937,5116,REU.3.1_1,REU.3.1_1,0.0303622724031712,0.224062364335492,0.193700091932321,2024.80407918389,2024.83444145629,NA,NA,NA
5706,5707,REU.3.1_1,REU.3.1_1,0.0127273375864659,0.226242581733869,0.213515244147404,2024.8238943361,2024.83662167369,NA,NA,NA
5515,5516,REU.3.1_1,REU.3.1_1,0.036805996546849,0.228901076061162,0.192095079514313,2024.80247417147,2024.83928016802,NA,NA,NA
3182,3183,REU.4.3_1,REU.4.3_1,0.041152471582846,0.229282835090121,0.188130363507275,2024.79850945546,2024.83966192705,NA,NA,NA
5821,5822,REU.3.1_1,REU.3.1_1,0.00572338367643599,0.22964330007416,0.223919916397724,2024.83429900835,2024.84002239203,NA,NA,NA
4887,4888,REU.3.1_1,REU.3.1_1,0.0278327312486853,0.230633889061992,0.202801157813307,2024.81318024977,2024.84101298102,NA,NA,NA
