# BEAST v10.5.0
# Generated Mon May 18 09:52:03 CEST 2026 [seed=1779090717988]
# Alignment_101025_sa_cov3_lag1.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	precision	precPrior	randomWalk	coalescent	samplingBetas1	samplingBetas2	samplingModel	skygrid.cutOff	logPop1	logPop2	logPop3	logPop4	logPop5	logPop6	logPop7	logPop8	logPop9	logPop10	logPop11	logPop12	effPop1	effPop2	effPop3	effPop4	effPop5	effPop6	effPop7	effPop8	effPop9	effPop10	effPop11	effPop12	skygrid.coefficients1	skygrid.coefficients2	skygrid.indicators1	skygrid.indicators2
0	-125000.97753043965	-28215.891213168165	-96785.08631727149	17.202954002727537	2008.3915665452178	271.0534659077689	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	4.0954E-4	4.0954E-4	-96785.08631727149	0.0	1.0	-4.655531579882204	-13.32993291017407	-28193.36267056202	0.0	0.0	-0.9770342091474047	1.0	0.12864763	0.12975425000000002	0.13097699000000002	0.13132384	0.13163406	0.13134074	0.13074581000000002	0.13033873	0.12927432	0.12884116	0.12815409	0.12812717	1.1372893069188132	1.13854855063527	1.1399415509551238	1.140337008260291	1.1406908184836597	1.1403562801185774	1.1396780497266545	1.1392142040037356	1.13800225813093	1.137509427817693	1.1367281476429416	1.1366975473330891	0.1	0.01	1.0	1.0
100000	-63956.66536320579	252.28457999868667	-64208.94994320448	11.318947200433062	2014.2755733475121	1949.8136505113805	0.9844988688482007	1.0194049473923015	0.971684395471865	0.9913967631626766	1.020550828418225	1.012464196706731	0.25575490580380283	0.2671797264027291	0.23641409911841496	0.24065126867505315	0.12143562622888218	0.0011017998737957147	0.0011017998737957164	-64208.94994320448	0.0	180.61957597815226	-11.596156438600548	9.57032603240463	-22047.685266142762	1.31530756851882	1.1044216275306848	22456.47317365199	1.0	5.952670501302686	6.0709319938589985	6.201602917399423	6.238669840727356	6.271822214822183	6.24047589811309	6.176897334770183	6.1333937939071745	6.019643170123162	5.973352530051871	5.899927213601178	5.897050345860116	384.77952245517116	433.0841252869391	493.53951046407894	512.1767809442002	529.4412551178315	513.1026374255274	481.49571636971416	460.9980411739141	411.43175838657646	392.82040789303574	365.01089906954314	363.96232002369123	2.8911756051314836	1.0686730093104395	1.0	1.0
200000	-59213.848312776216	437.1848801980254	-59651.03319297424	5.115383858168123	2020.479136689777	2018.8680656265176	0.9643055166058081	1.0297183371466523	0.987847037812779	0.9810644674303632	1.0406789718820284	0.9963856691223688	0.25474868193491546	0.2683178578178298	0.23880990714585865	0.2381235531013961	0.11770311360055033	3.212691345464294E-4	3.21269134546428E-4	-59651.03319297424	0.0	63.460678425529544	-9.389054636069261	7.175467500624395	-22030.209475715328	1.1995119746164273	1.1107121134705173	22479.442911419286	1.0	6.050276056142548	6.174665370313509	6.3121071208777515	6.351094698926403	6.3859648919846475	6.352994338739066	6.286121397097191	6.240363682603766	6.120718971775556	6.072029742115607	5.994799829329426	5.991773894195882	424.2301252135193	480.42223347820953	551.2051819538386	573.119759320631	593.4570784064856	574.2095151769552	537.0662175722465	513.0450625821888	455.19184696917046	433.55980367022755	401.33634018560997	400.1237579762579	2.830147151619346	1.124047226427876	1.0	1.0
300000	-55969.663479657465	433.40812233689144	-56403.07160199436	4.961847322207895	2020.6326732257373	2034.694321385963	0.9368059106644822	1.041358873779545	0.986957080940236	0.958395496977787	1.0685311318483106	1.0079515057896389	0.26031807432432613	0.2630380812025942	0.24006476863115758	0.2365790758419221	0.09370918195408717	2.3274635882231622E-4	2.327463588223162E-4	-56403.07160199436	0.0	203.43315897508148	-11.942047288498868	8.865947409125605	-22027.091620589144	1.192054858620292	1.1100965108835001	22480.496672481262	1.0	6.029303545600847	6.153692859771808	6.29113461033605	6.330122188384701	6.3649923814429465	6.332021828197364	6.26514888655549	6.219391172062064	6.099746461233854	6.051057231573905	5.973827318787725	5.970801383654181	415.42560361860063	470.45149430166236	539.7654051928148	561.2251648599629	581.1404008488573	562.2923037958942	525.9198825303016	502.3972653980593	445.74474218269637	424.5616528383363	393.0069588805663	391.81954274409145	2.809174641077645	1.124047226427876	1.0	1.0
400000	-53668.76607837622	449.47595963882225	-54118.24203801504	6.088360735086089	2019.506159812859	2074.4302800356995	0.923150783827182	1.0432656495541883	0.968243061535428	0.9628215063948157	1.108297310390042	0.9942216882983435	0.26438405274336396	0.26226665591719267	0.23799367513633032	0.235355616203113	0.08580690212974243	2.0501048548323772E-4	2.0501048548323767E-4	-54118.24203801504	0.0	125.98310534514032	-10.69314896859858	8.776708545790216	-22012.41384635974	1.2392410953173765	1.1100965108835001	22483.80914124629	1.0	5.998603012611501	6.123955692172305	6.262461896114197	6.301751423599391	6.3368916779354345	6.303665775666566	6.236274919138481	6.190162822126307	6.069591491722633	6.020525175662415	5.942697135733766	5.939647765458716	402.86560203334403	456.667562655877	524.5086376828535	545.526521941699	565.037261164395	546.5718520123287	510.95162537554546	487.9255448217709	432.5039640323433	411.7948035568884	380.96104878250026	379.8011268988572	2.753534982423666	1.132752702470618	1.0	1.0
500000	-51723.54665453695	583.261857078223	-52306.80851161517	6.813024463333042	2018.7814960846122	2062.7033713591395	0.88945162187925	1.0377759555036041	0.9897416854474174	0.9400621980582684	1.1504053929351625	0.9925631461762972	0.2594094363172078	0.2706034657737454	0.2394664504014483	0.23052064750759838	0.06963454216098049	1.72254020825073E-4	1.7225402082507232E-4	-52306.80851161517	0.0	154.07707372839567	-11.173380743578168	8.637735708018791	-21886.894089561178	1.23734034673377	1.1135379113146018	22496.7784424666	1.0	5.95361384474205	6.082334346830085	6.224561766109623	6.264906876580458	6.300991236304438	6.266872661118319	6.197671229455025	6.150320249001033	6.026509555513183	5.976124985665852	5.896205957119806	5.893074660092633	385.14267295417085	438.050564085107	505.00168510411453	525.7926200726746	545.1119771964463	526.8272316538881	491.60287673517934	468.8675170955589	414.26652857603335	393.9109961433754	363.6551240534277	362.5181928082467	2.6213612944246476	1.1631861170775393	1.0	1.0
600000	-50234.797932371424	707.0803754340415	-50941.87830780547	5.9973184706464275	2019.5972020772988	2014.683483871114	0.8610598540677792	1.0507222107236296	0.9921320947949769	0.9242418823155436	1.1679550817113409	1.0038888763867289	0.2669928103795471	0.26377076576663067	0.23678468298238087	0.23245174087144121	0.06899673141202595	1.7631939520735334E-4	1.7631939520735334E-4	-50941.87830780547	0.0	56.433610002580124	-9.202601933922113	6.502366231225949	-21778.724607622862	1.2596530081670458	1.1135379113146018	22511.700522139414	1.0	5.926953455483844	6.059935813938296	6.206872295274796	6.2485532074487375	6.285832298048709	6.250584077899191	6.179091429550789	6.130172687363192	6.002262698240907	5.950209926387759	5.867644828139668	5.86440985580084	375.0102862086095	428.3479420094666	496.14702058579775	517.2639094652584	536.9109746811419	518.3154728871923	482.55332342866774	459.5155063498772	404.342664631508	383.83390746979285	353.4156447472694	352.2742021754133	2.484372080187412	1.2016984913922832	1.0	1.0
700000	-48817.083155924396	833.7394221251028	-49650.8225780495	6.795129272954351	2018.7993912749907	1971.40072846456	0.8593726739087343	1.0627321286822917	0.9688768152653905	0.8997807805108377	1.1995533518557526	1.0096842497769922	0.2695750327111549	0.2595135931190821	0.24455780756209583	0.22635356660766692	0.07611317334980719	1.6125877479399237E-4	1.6125877479399215E-4	-49650.8225780495	0.0	76.66735388081256	-9.708286342729238	7.415628919277446	-21649.418600622826	1.3051915404624317	1.1135379113146018	22510.77020163612	1.0	5.8785525760741635	6.011431065970639	6.158252779599541	6.1999011360548675	6.237151109067902	6.201930420252921	6.13049361268202	6.081613079466411	5.953802997025549	5.901790882041583	5.819290272931706	5.8160578273333865	357.2917146823711	408.0668732389529	472.601613859322	492.70032838709835	511.3995122324439	493.70117253301936	459.6630001762448	437.734726424984	385.21553046059745	365.69179264540037	336.7329802907969	335.6462665685699	2.438660098518219	1.200759880505279	1.0	1.0
800000	-47769.01700696414	962.6651283918892	-48731.68213535603	5.56885518475151	2020.0256653631936	1924.4044947886919	0.8503225740501138	1.0809839908902592	0.964749456307112	0.8837202662218785	1.2276850899242893	0.9925386226063465	0.26663857412998543	0.261809503933472	0.2504063139076635	0.22114560802887878	0.05334368010744395	1.6051196799585124E-4	1.6051196799585102E-4	-48731.68213535603	0.0	177.5298036576732	-11.54817673418249	7.993811768112636	-21528.252411470712	1.3662536292747567	1.119041701086477	22519.638525393915	1.0	5.819375738284716	5.953840012577399	6.102413910345951	6.144559302204418	6.182253819898907	6.146612804070955	6.074323462919569	6.024859584823145	5.895524204837356	5.842891372381212	5.759406193242687	5.756135171334572	336.76176052366634	385.22978968994374	446.93533081079477	466.17416186204554	484.0817608852726	467.1324349445996	434.55541019686575	413.583564536285	363.40728583431473	344.7747731452996	317.15994127418054	316.12419904915157	2.338431260365212	1.2150898618557642	1.0	1.0
900000	-46944.885866512595	1081.6720108313302	-48026.55787734393	6.069270458188201	2019.525250089757	1835.9969790065495	0.8530734268008519	1.0788444753793713	0.9671208666758275	0.8582645912792206	1.2639342267319251	0.9787624131328028	0.27182011659300004	0.2614711493394532	0.2433983647469427	0.22331036932060386	0.0760270519292207	1.5802715406930306E-4	1.580271540693025E-4	-48026.55787734393	0.0	123.23943836204093	-10.643913788786183	8.04892446227457	-21413.363400958307	1.3868373107699032	1.1209385459351182	22523.1458834418	1.0	5.807954364830177	5.943471441636236	6.093208614734354	6.135683988476181	6.173673639455538	6.137753568456683	6.064898230125342	6.015047069269574	5.884699044000614	5.8316541171157645	5.7475152817783055	5.744218649051969	332.93736021720525	381.2561434031931	442.84003708479054	462.05502627291014	479.9460201011954	463.01227631626637	430.47886566266425	409.54511545240456	359.49455966996965	340.92213807341614	313.4109541032231	312.37945446703924	2.299755457326661	1.2246035387581855	1.0	1.0
