# BEAST v10.5.0
# Generated Mon May 18 09:51:39 CEST 2026 [seed=1779090696330]
# Alignment_101025_sa_cov4_lag0.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	precision	precPrior	randomWalk	coalescent	samplingBetas1	samplingBetas2	samplingModel	skygrid.cutOff	logPop1	logPop2	logPop3	logPop4	logPop5	logPop6	logPop7	logPop8	logPop9	logPop10	logPop11	logPop12	effPop1	effPop2	effPop3	effPop4	effPop5	effPop6	effPop7	effPop8	effPop9	effPop10	effPop11	effPop12	skygrid.coefficients1	skygrid.coefficients2	skygrid.indicators1	skygrid.indicators2
0	-124629.85086793647	-27785.227187923672	-96844.62368001281	24.584352713335047	2001.0101678346102	287.3396917268003	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	4.0954E-4	4.095400000000007E-4	-96844.62368001281	0.0	1.0	-4.655531579882204	-13.330234778693317	-27762.69834344901	0.0	0.0	-0.9770342091474047	1.0	0.14935354	0.14543903000000002	0.15226065	0.15071045	0.15886999000000002	0.16289068	0.1462791	0.1407778	0.14880744	0.14544076	0.14124564	0.13903497	1.1610834060828066	1.1565472177486391	1.1644637143467795	1.1626599611471238	1.1721855409316202	1.1769080230705957	1.1575192065820203	1.1511688298504092	1.1604495115354045	1.1565492185770565	1.151707518676031	1.149164285576023	0.1	0.01	1.0	1.0
100000	-65195.1111447581	129.25357661182463	-65324.36472136992	54.724600394977436	1970.8699201529678	3159.726642922921	0.9484710660295944	1.007192650773741	0.9893895009461169	0.9915822544578281	1.0403334111398084	1.0230311166529114	0.2727824519188616	0.26863822041860524	0.22450087371138708	0.234078453951146	0.1831015354959229	5.63165289440442E-4	5.631652894404445E-4	-65324.36472136992	0.0	1.466752216260147	-5.039419176069876	-17.637760447722503	-23067.39486490509	0.9209673305652541	0.9174958630707153	23231.312388506198	1.0	7.53124798665619	7.0492930917118475	7.889171684549835	7.698310892741224	8.702914340808585	9.197942128846874	7.152722601049133	6.4754019495353266	7.464012095541056	7.04950608949912	6.533002460978844	6.2608245312745865	1865.43208583388	1152.0440653680794	2668.2328665700666	2204.621003791649	6020.432266603149	9876.78298433515	1277.579563863354	648.9800324146471	1744.1316613993645	1152.2894743396996	687.4591853252723	523.6505283921434	1.4548347993526973	1.2312010824965125	1.0	1.0
200000	-60641.93474165326	395.4815865717851	-61037.416328225045	47.80366667437914	1977.790853873566	3056.577071638533	0.9180109595347045	0.9940241164729285	0.9894468054044685	0.9897906671554138	1.079925127634157	1.0288023237983281	0.26782384201512627	0.2596700247332737	0.23508444840605097	0.2374216848455489	0.12386045628378377	2.79250398319703E-4	2.7925039831970213E-4	-61037.416328225045	0.0	1.1498584403673349	-4.795272615356777	-17.65747164870635	-22805.194497532604	0.9572401290981349	0.924393353589274	23232.801641404072	1.0	7.420273230476487	6.937623268121256	7.778713120031633	7.587577071932873	8.593629342545544	9.089371051505811	7.04120194179325	6.362904469592429	7.352940372866673	6.9378365730904274	6.420588051544774	6.148017591313522	1669.4896008717797	1030.3185117417931	2389.1982300179397	1973.5260046452763	5397.16633770873	8860.611431149773	1142.7603128869248	579.928296742709	1560.7790597574417	1030.5383072410796	614.3642857886787	467.789117771635	1.3350967401629115	1.2329767004177563	1.0	1.0
300000	-57611.04235358661	483.14239224500466	-58094.18474583161	40.01615794514044	1985.5783626028046	2975.4310019048867	0.8906057700340207	1.0100815303403596	0.9892126793130107	0.9667223041194972	1.0965841173537485	1.0467935988393635	0.2707086822832774	0.2660406084702436	0.23590001675074945	0.22735069249572937	0.10274921225243186	1.9054264202593565E-4	1.9054264202593598E-4	-58094.18474583161	0.0	2.2311628149811455	-5.462340870383503	-18.486285882113272	-22707.91593144521	0.9468899372848343	0.9340660442659058	23234.072252426504	1.0	7.357571435836504	6.8763074254660355	7.714982048451644	7.524394856471983	8.52755820084414	9.021876364255764	6.979588668122695	6.303238958899559	7.290431927682658	6.876520117919992	6.36075689974317	6.088969138361621	1568.023888546174	969.0414872425381	2241.6826557467966	1852.6917423789055	5052.0945610571935	8282.303127991614	1074.4763097282812	546.3386157596282	1466.2038544882346	969.2476169747879	578.6841965920336	440.9666012101954	1.2898688149773632	1.2294361500429636	1.0	1.0
400000	-54973.41218973562	763.5893104543774	-55737.00150019	24.70893262460074	2000.8855879233445	2799.4841875540133	0.8710638073790217	1.0070566914382246	0.9789250222549825	0.9460075839781324	1.1602160514551203	1.036730843494519	0.2612522916510889	0.27055762449288984	0.23851593496974444	0.22967414888627666	0.09708667920305576	1.7286136536628604E-4	1.72861365366286E-4	-55737.00150019	0.0	1.734549825721569	-5.208117512295215	-17.874881782249048	-22425.02227665443	1.0380403230950355	0.9341235617879731	23233.017961756686	1.0	7.217906464421859	6.7338570100137645	7.577385686445642	7.385695420173891	8.394664840413215	8.891844002260823	6.8377360204555835	6.157471756592353	7.150378368427147	6.734070933482123	6.215322597885462	5.94196179222234	1363.6312597403007	840.3823862770525	1953.5151825643336	1612.7489432645202	4423.404114996248	7272.417180452271	932.3758635477162	472.23264523091336	1274.5881278534384	840.5621830225581	500.3573773894077	380.6810145204793	1.1150853935577907	1.2365518402254567	1.0	1.0
500000	-52955.51531549584	949.1280044241039	-53904.643319919945	14.052213755380166	2011.5423067925651	2669.9810560410456	0.8368318526720324	1.0233814767044387	0.9759562620079243	0.9440750910846681	1.1820027787243643	1.0377525388065727	0.2707792854119424	0.26156654007460445	0.2347152026262915	0.2329389718871614	0.08131217350804927	1.6507254508451148E-4	1.6507254508451143E-4	-53904.643319919945	0.0	1.0452519826180307	-4.69979950786907	-17.754816358015347	-22240.7863284228	1.118546837562467	0.9329198840617329	23234.77018979755	1.0	7.182861637550522	6.698638741308354	7.54246966611465	7.350710714482235	8.360041662877771	8.857398971121183	6.802554973083508	6.1220469608170855	7.1153093452743885	6.6988527414285475	6.179918530893017	5.906459776148319	1316.6707066320919	811.3006830397082	1886.4832606132195	1557.3029323689811	4272.87278286361	7026.183650063697	900.1442003341193	455.796738309378	1230.6642524945469	811.4743200619008	482.9526090322391	367.40316089074076	1.0778538387190832	1.2369949144137256	1.0	1.0
600000	-51507.77747183573	1071.410274720017	-52579.18774655575	6.920504294062655	2018.6740162538824	2573.148123875214	0.8425130538609941	1.0381086537489028	0.9715170112420145	0.9067977583153668	1.2000316226853998	1.0410319001473232	0.2693046886795495	0.2676155621354134	0.2389997099856865	0.22408003919935035	0.0681912363666111	1.4554478136800334E-4	1.4554478136800359E-4	-52579.18774655575	0.0	2.0180416275985515	-5.360818270524167	-18.182583674016126	-22113.894669895915	1.1377503301121437	0.9339795270930434	23234.23618970054	1.0	7.138343358850012	6.655699066950691	7.49677903724231	7.30564523472237	8.311685685640668	8.807421570335478	6.759276523719446	6.080987020556666	7.07101129230625	6.65591236941383	6.1386699248083305	5.8661026668953165	1259.3403849355047	777.2010487912312	1802.2281459726255	1488.680200182523	4071.169915433402	6683.663673727311	862.0183203287401	437.4607644665116	1177.338065340442	777.3668453710739	463.4367550137318	352.87104087821695	1.0532383607723972	1.232962214681584	1.0	1.0
700000	-49807.483592403914	1504.261193406638	-51311.74478581055	7.771602662170492	2017.8229178857748	2332.3754656291076	0.8266190581202385	1.05745796878292	0.9660372937170717	0.903881076636017	1.226704519811145	1.0193000829326084	0.27342746027607967	0.26878174004569955	0.2327932781140996	0.22499752156412092	0.03371984313128813	1.4850508814067087E-4	1.4850508814067027E-4	-51311.74478581055	0.0	1.5147465763688046	-5.07177471280431	-17.63619889789938	-21682.414287060077	1.3629301031824987	0.9329414721037963	23234.034061354152	1.0	6.933656373423949	6.4510120815246275	7.292092051816247	7.100958249296307	8.106998700214604	8.602734584909413	6.554589538293383	5.876300035130603	6.866324306880187	6.451225383987767	5.933982939382267	5.661415681469253	1026.2394426688686	633.3429632640749	1468.6399564481655	1213.1289977059962	3317.6059427639193	5446.533253091333	702.4607573986646	356.4878062245275	959.415559495217	633.478071287076	377.65570203795073	287.55544144912886	0.8485513753463341	1.232962214681584	1.0	1.0
800000	-48290.305517891786	1789.226654186065	-50079.53217207785	6.513346372073711	2019.0811741758714	2156.2759833263326	0.8026455616352375	1.0629404989347777	1.0076036236830157	0.8858123013097406	1.2638586042897026	0.9771394101475268	0.26463605378834404	0.26351411647510053	0.24381959712374893	0.22803023261280625	0.08649641954522805	1.585814814331694E-4	1.585814814331691E-4	-50079.53217207785	0.0	1.1657951989237665	-4.809058925941256	-17.582430449174684	-21398.89902178192	1.4512829592785692	0.9350057132599291	23233.58456093776	1.0	6.78587841608587	6.304270652682596	7.143544316816049	6.95282099388987	7.956700868969906	8.45137210962018	6.40762566615866	5.730792859802198	6.718690952113488	6.304483497056652	5.788351884055704	5.516369992497702	885.257369820014	546.9025607722004	1265.9072234653474	1046.0966017916753	2854.6395700949956	4681.491850644943	606.4520506557838	308.2135416550547	827.7332594934793	547.0189782943855	326.4745128830892	248.73050285831366	0.7138418098608195	1.2303143009042614	1.0	1.0
900000	-46800.47883131632	2082.528764695607	-48883.00759601193	5.696438781729971	2019.8980817662152	2036.0578257965008	0.7993105711897885	1.0796359608286765	0.972890324231304	0.8700302200368212	1.3035687239928289	0.9745641997205821	0.2695112537237595	0.26384917050833806	0.24103407722206457	0.22560549854583767	0.09595398262344917	1.588776134491547E-4	1.5887761344915357E-4	-48883.00759601193	0.0	3.9201692279463427	-6.03720674719405	-22.400934785647813	-21100.374202603758	1.5927708526213107	0.9350057132599291	23234.303490529022	1.0	6.662358671644661	6.180750908241388	7.02002457237484	6.829301249448662	7.833181124528698	8.327852365178973	6.284105921717451	5.607273115360989	6.59517120767228	6.180963752615444	5.664832139614495	5.392850248056494	782.3941734294749	483.35477519811707	1118.8141093283898	924.5445606994339	2522.9424154216777	4137.5221170391105	535.9848639203215	272.40041979204966	731.554123647856	483.45766549211294	288.5395426924128	219.82906081888285	0.5903220654196111	1.2303143009042614	1.0	1.0
