# BEAST v10.5.0
# Generated Mon May 18 09:51:32 CEST 2026 [seed=1779090689541]
# Alignment_101025_sa_cov3_lag0.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	precision	precPrior	randomWalk	coalescent	samplingBetas1	samplingBetas2	samplingModel	skygrid.cutOff	logPop1	logPop2	logPop3	logPop4	logPop5	logPop6	logPop7	logPop8	logPop9	logPop10	logPop11	logPop12	effPop1	effPop2	effPop3	effPop4	effPop5	effPop6	effPop7	effPop8	effPop9	effPop10	effPop11	effPop12	skygrid.coefficients1	skygrid.coefficients2	skygrid.indicators1	skygrid.indicators2
0	-124128.08633638284	-27240.480214418425	-96887.60612196442	22.00399450561175	2003.5905260423335	272.42023047311653	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	4.0954E-4	4.095399999999991E-4	-96887.60612196442	0.0	1.0	-4.655531579882204	-13.329932246899483	-27217.951672475556	0.0	0.0	-0.9770342091474047	1.0	0.12793041	0.12864763	0.12975425000000002	0.13097699000000002	0.13132384	0.13163406	0.13134074	0.13074581000000002	0.13033873	0.12927432	0.12884116	0.12815409	1.13647391272557	1.1372893069188132	1.13854855063527	1.1399415509551238	1.140337008260291	1.1406908184836597	1.1403562801185774	1.1396780497266545	1.1392142040037356	1.13800225813093	1.137509427817693	1.1367281476429416	0.1	0.01	1.0	1.0
100000	-64704.031115275495	-436.9308343349631	-64267.10028094053	28.421302311884734	1997.1732182360604	2491.9442594827306	0.9850743234518339	1.020416285804377	1.011779642472616	0.9494770663104708	1.0140168880699747	1.0192357938907273	0.270566759703504	0.26055572196398163	0.22524077449706442	0.24363674383544986	0.12005798586581443	9.50300679703737E-4	9.503006797037416E-4	-64267.10028094053	0.0	91.50579265782012	-10.031827761693638	4.771798268179377	-22825.482567812145	1.0839964145396646	1.0816660792311774	22489.043195296115	1.0	6.131248796389575	6.243461748663241	6.416598439281299	6.6079027326126365	6.662169293076818	6.710704891713689	6.664813389579182	6.571733369925279	6.508043499855337	6.341510792276614	6.273740565000658	6.166244743469374	460.0102612914082	514.6369747287855	611.9180934240541	740.9274650719406	782.2460187705237	821.1492568022038	784.3170895816729	714.6074492693106	670.5132741094758	567.653270051514	530.4578836570766	476.3937620536322	1.761384927125038	1.5645541434101888	1.0	1.0
200000	-60828.56524066075	-570.3931211750929	-60258.17211948566	18.27436181966199	2007.320158728283	2749.8351018788017	0.9485407236105153	1.0461192479348527	1.013060103541829	0.9390726109469756	1.0342250474453096	1.0189822665205173	0.2662547623531071	0.26601684530248426	0.22539814793248425	0.24233024441192436	0.11675398219812136	2.6279154903797314E-4	2.627915490379734E-4	-60258.17211948566	0.0	30.74788854561501	-8.344573578782951	3.051313557069866	-23050.271028002597	0.9352727755799771	1.0868435568071446	22497.429423754504	1.0	6.219025793167974	6.332916986079489	6.508643083929162	6.702808496523101	6.757886659794286	6.807148149804339	6.760570301020415	6.666098190093715	6.601455783565147	6.432432436967247	6.363648648002144	6.254545134556178	502.213733572204	562.7958695354899	670.9154237391284	814.6906710919513	860.8210643666537	904.2882315687405	863.1343018246982	785.325428200206	736.1661080611643	621.68431824547	580.3600274827509	520.3726213926667	1.7838068737182735	1.587953388242314	1.0	1.0
300000	-57638.14657639887	-490.2705615044724	-57147.8760148944	7.44550247015771	2018.1490180777876	2702.7696803433455	0.9155346720289541	1.0730978238659856	1.0152677481400094	0.9322583131412536	1.058434936682339	1.005406506141458	0.25363299423781377	0.27262319180199596	0.2341936869361963	0.23955012702399392	0.10621168176685987	1.9518129405087127E-4	1.9518129405087168E-4	-57147.8760148944	0.0	46.10517524598479	-8.899199285294987	4.079876780713763	-22975.65069545025	0.8199147888513391	1.107847434753512	22509.828750419914	1.0	6.196650434458068	6.31168134249348	6.489165940594686	6.685274376627173	6.740903709958762	6.790658162275688	6.743614206522994	6.648196708241423	6.582907421769971	6.4121926497028605	6.342720537764238	6.232525219753181	491.10130702159915	550.9705406582049	657.9743445994096	800.5302948476563	846.3252228940114	889.4988037743395	848.6222962011989	771.3920256684896	722.6372893306902	609.2280413183328	568.3404015768249	509.03929794709717	1.7170480473225307	1.6038441208473262	1.0	1.0
400000	-54901.65899193026	-191.24509945952735	-54710.41389247073	6.632112027988331	2018.9624085199569	2534.258808455734	0.8804696812940157	1.1031969181706258	1.0150828098711855	0.9171501112872544	1.0914979491827241	0.9926025301941943	0.26273245044844007	0.2702651723077159	0.2406111847929624	0.22639119245088146	0.09383707106838644	1.747343514539135E-4	1.7473435145391253E-4	-54710.41389247073	0.0	52.05400543537013	-9.078830562488427	4.3328795375727545	-22672.889371668647	0.9386279867455218	1.1086937374966246	22508.652060705317	1.0	6.091442323311093	6.206081979624574	6.382962903845347	6.578404321207865	6.633844443893136	6.683429667648145	6.636545721313868	6.54145276415905	6.4763855444885285	6.306251420263561	6.237015602064478	6.127195088605144	442.05854290182214	495.7550627362302	591.6781987197145	719.3904967501671	760.3998732252574	799.0549106703752	762.4567010140548	693.293038062368	649.6186799330083	547.9869212129934	511.33021871197326	458.14928858244764	1.6270762946245183	1.5983890063506319	1.0	1.0
500000	-52797.33771698279	-92.77115589037415	-52704.56656109241	5.9313498864484675	2019.6631706614967	2488.1299937284434	0.8787719143262276	1.123259420158841	0.9842310729766267	0.9183249912146237	1.115325862103916	0.9800867392197644	0.2681642283487377	0.27019949121495906	0.2348410531611907	0.22679522727511234	0.07860062741775692	1.5693463429603961E-4	1.5693463429603983E-4	-52704.56656109241	0.0	65.97878718322428	-9.452759402923515	4.4767584142942765	-22579.036647240075	0.9522011869778201	1.1152878213173902	22516.009588913825	1.0	6.048354287243382	6.164405069855268	6.3434632626747165	6.541310414079945	6.597432962180852	6.647628542033421	6.600167490256116	6.503904011687072	6.438035864416156	6.2658075195290674	6.195719461476916	6.084547141673858	423.41563583364655	475.51815867881913	568.7626789492568	693.1943547675106	733.2105920415665	770.9538712704305	735.2183208348715	667.7434291700025	625.177659420358	526.2663848027809	490.64431772910206	439.02095335485666	1.529035334661403	1.6180639498603775	1.0	1.0
600000	-51279.27904046276	4.59953471910937	-51283.87857518187	6.076531366450228	2019.517989181495	2452.914889826913	0.8894004893325499	1.1276269691786978	0.9800236539437877	0.8953692292272871	1.1300987259936641	0.9774809323240127	0.2642015855944422	0.2750806224994009	0.23552082466836843	0.22519696723778826	0.029468994014857915	1.479508486828573E-4	1.4795084868285703E-4	-51283.87857518187	0.0	91.48450220916158	-10.031384489314783	4.219200795669091	-22484.062275208642	0.9648139276969254	1.117210676926039	22520.458530684566	1.0	6.0007139848789395	6.117632354287015	6.298029172493933	6.497355414107427	6.553897530095814	6.604468368273463	6.556652501294326	6.459669364304355	6.393308791790148	6.219792880937621	6.149180849911154	6.037177414327641	403.7169384043319	453.7890099780291	543.4997097344828	663.3849327612821	701.9748169528525	738.3872147773194	703.9114037511948	638.8497950997701	597.8314103970922	502.599123379982	468.33359410675325	418.7095218916447	1.4476089486292303	1.6301604724920649	1.0	1.0
700000	-49947.36267756473	171.99267203064153	-50119.35534959537	7.044889846545959	2018.5496307013993	2384.2594068131116	0.8662930804610836	1.1423141994182535	0.9640266235664381	0.8914313082899594	1.1602757448450596	0.9756590434192051	0.26066147333055856	0.2699215224080889	0.24374798224773794	0.2256690220136143	0.08507144527451162	1.4651343046269796E-4	1.465134304626983E-4	-50119.35534959537	0.0	42.787106485290366	-8.792077083525587	3.7202439915563494	-22330.762897960303	0.931446628938427	1.1360841073064374	22534.01995341504	1.0	5.945532179018504	6.064320324217873	6.247602074922714	6.450115971162469	6.507562317001126	6.558941891474437	6.510361346104984	6.411827240497972	6.344405419930003	6.168114617063852	6.09637334803265	5.982578737003773	382.042622275005	430.2301612539526	516.7721568344609	632.7756722875168	670.1907122302997	705.5247777231932	672.0692233161258	609.0054644524536	569.2987953470845	477.2853915272815	444.2437276775917	396.46142081278344	1.3196132161369343	1.656230238969485	1.0	1.0
800000	-48730.30057312687	336.9608028977102	-49067.26137602458	7.248612360745255	2018.3459081872	2283.7740511379657	0.8414041748957919	1.1667570613153166	0.9689283934854838	0.8836130432056117	1.1710986368300256	0.9681986902677697	0.2651303370443693	0.26102712121189237	0.2435615645343168	0.23028097720942117	0.05893092061387335	1.3818582404787928E-4	1.3818582404788E-4	-49067.26137602458	0.0	58.41898516245102	-9.256685947655221	4.182696270409937	-22165.675344336643	0.9318516817686356	1.1393927883166686	22535.13300413285	1.0	5.882137138223985	6.000925283423355	6.184207034128195	6.38672093036795	6.444167276206607	6.4955468506799185	6.4469663053104656	6.348432199703454	6.281010379135484	6.104719576269333	6.032978307238131	5.919183696209254	358.5747472203869	403.80225221879743	485.0282002673141	593.9059243876188	629.0226566774174	662.186243313211	630.7857757601514	571.5958580000562	534.3282653093838	447.967003261969	416.95500205621073	372.1078368272945	1.256218175342416	1.656230238969485	1.0	1.0
900000	-47740.43436227877	507.201932750313	-48247.636295029086	6.949755706114062	2018.6447648418311	2186.687649817943	0.8289868806442131	1.154756937847611	0.964571676769533	0.8676274059476174	1.210436563050173	0.9736205357408515	0.2657323132511379	0.26092988052803245	0.24113046862598797	0.2322073375948413	0.07784666899776134	1.377716295452087E-4	1.377716295452087E-4	-48247.636295029086	0.0	101.32314538645466	-10.230894753793681	3.7164748122620503	-21995.172297704205	1.0413434376733488	1.1403366944031115	22536.348872391158	1.0	5.832673502387159	5.951869927897619	6.13578162639792	6.338991572200686	6.39663536376855	6.4481915321992345	6.3994440132640005	6.300571241410261	6.232917688948258	6.05602096649547	5.98403311942747	5.869847391093804	341.26984627385974	384.4716014757985	462.1001425678992	566.2250263229301	599.8234511111306	631.5591051088794	601.5105130182062	544.8830810202465	509.2391193999426	426.67430332163883	397.03844684143274	354.19492284329266	1.1908550435577654	1.6619227783728894	1.0	1.0
