# BEAST v10.5.0
# Generated Mon May 18 09:51:47 CEST 2026 [seed=1779090702777]
# Alignment_101025_sa_cov1_lag1.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	precision	precPrior	randomWalk	coalescent	samplingBetas1	samplingBetas2	samplingModel	skygrid.cutOff	logPop1	logPop2	logPop3	logPop4	logPop5	logPop6	logPop7	logPop8	logPop9	logPop10	logPop11	logPop12	effPop1	effPop2	effPop3	effPop4	effPop5	effPop6	effPop7	effPop8	effPop9	effPop10	effPop11	effPop12	skygrid.coefficients1	skygrid.coefficients2	skygrid.coefficients3	skygrid.indicators1	skygrid.indicators2	skygrid.indicators3
0	-123028.33455940023	-26276.486104075735	-96751.84845532449	20.672560130322033	2004.9219604176233	273.17274634840044	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	4.0954E-4	4.095399999999978E-4	-96751.84845532449	0.0	1.0	-4.655531579882204	-13.33030760364184	-26253.038198242917	0.0	0.0	-0.9770342091474047	1.0	0.17408666	0.18201490000000003	0.18168744	0.19019383	0.19452474	0.17761984000000003	0.17152361000000002	0.17914617000000002	0.17471508	0.1700868	0.16718906	0.16148051000000002	1.190158700504458	1.199632068264521	1.1992393010587314	1.2094840092240284	1.2147335350209534	1.1943711827687893	1.1871121701197598	1.1961955792975727	1.1909068550880595	1.1854077402467749	1.1819777088912171	1.175249552321384	0.1	0.01	0.01	1.0	1.0	1.0
100000	-63439.72395824126	1273.1925950352363	-64712.9165532765	38.85823666627693	1986.7362838816682	3246.9726377862494	0.9986498889813606	1.0011526494619174	1.0021012770074675	0.9784455040794791	1.026486876981652	0.9931638034881232	0.2590472858624048	0.26520143548103403	0.23407995498051187	0.24167132367604938	0.14305770432528805	4.437601258218264E-4	4.437601258218262E-4	-64712.9165532765	0.0	0.8743516927145514	-4.5213452328526245	-21.995689535261622	-22576.595689551817	1.3302515355932105	0.7389227148294646	23882.254584289865	1.0	8.126181355424272	9.30222133382977	9.006049932214841	10.431907226473003	11.131779138971194	8.220853126878618	7.266598986679662	8.68443755643659	8.114191816515103	7.386104908148999	7.011430712681849	6.0143718149052185	3381.8607522828697	10962.343206120853	8152.2556288176065	33924.99123954611	68307.79302461885	3717.672676473718	1431.6730246113975	5910.215400000611	3341.555902305641	1613.4094797953082	1109.240374439288	409.26866167460935	0.70990397029116	-0.19616228516732548	1.755811213768409	1.0	1.0	1.0
200000	-59698.6280703096	1297.1787522656273	-60995.80682257523	29.204533461867914	1996.3899870860773	3216.273202153372	1.0005673555870147	1.009369466668375	1.0008419802113804	0.9681908288195118	1.058921894966963	0.9621084737467548	0.2578854030735487	0.2673167067076238	0.23116955195724304	0.2436283382615846	0.12153061054006649	2.4186950093488277E-4	2.4186950093488342E-4	-60995.80682257523	0.0	0.5548401457136105	-4.067895501199659	-21.717215349526445	-22546.871503650484	1.2919178965197484	0.7389734755511499	23883.9537144316	1.0	8.070210339614444	9.24670975457353	8.951045999170972	10.377047295497245	11.077048002349102	8.166000212293088	7.211499074399507	8.629168636337821	8.058480984231478	7.330214240386572	6.955254793367061	5.958184719186586	3197.774376972675	10370.388398512421	7715.958527732994	32113.998214063933	64669.6965631522	3519.239563978783	1354.9218744234706	5592.426979056224	3160.4856586921314	1525.7086053802639	1048.645691883004	386.9071412649626	0.642039288728252	-0.19201057497242302	1.755811213768409	1.0	1.0	1.0
300000	-56553.437992528765	1558.6329818200227	-58112.07097434879	9.246216494154375	2016.3483040537908	3071.878174375919	0.9905661402720678	1.0334611871499022	1.0159951863323846	0.9482869385989726	1.071387670444278	0.940302877202394	0.25524748626150195	0.2673182632626754	0.241521744119356	0.23591250635646682	0.1018181641587305	1.8440755583802357E-4	1.844075558380223E-4	-58112.07097434879	0.0	0.5755192246748917	-4.104328952382133	-21.68824523492001	-22276.098494273127	1.390250941346322	0.7357713659230791	23881.442790379493	1.0	7.955576110647265	9.132990691383547	8.838338132057697	10.26462627052474	10.964883526804044	8.053593163483706	7.098600023298619	8.515932933373982	7.944365022818573	7.215740059161943	6.840212410817193	5.84312007401475	2851.4305954791453	9255.661444944666	6893.526984286404	28699.250043699376	57808.062052101435	3145.075463133465	1210.2715359595966	4993.702678747076	2819.6414848511777	1360.6802794703585	934.687651412775	344.8536327164332	0.5037137017757352	-0.1837406559650432	1.755811213768409	1.0	1.0	1.0
400000	-53835.17622072688	1680.3053998883292	-55515.4816206152	6.454202498659985	2019.1403180492853	2944.8655486417356	0.9609819671074394	1.0547939674937317	1.0132387751217131	0.9307749627911128	1.1149381193980366	0.9252722080879658	0.26644090529941983	0.25936394054370115	0.2390324601508535	0.23516269400602574	0.09835931939967213	1.6447988733041548E-4	1.6447988733041627E-4	-55515.4816206152	0.0	0.5861403210086839	-4.122538881292696	-21.667949083806807	-22154.426132554363	1.4672111335748033	0.7391472135982764	23884.2954646562	1.0	7.861645601664476	9.03670152522259	8.739442809783501	10.164991669869305	10.86458772119134	7.953922542056631	7.000197439603564	8.418398002680036	7.849098782629962	7.121397059058723	6.747333836250656	5.750298876914042	2595.7884965062885	8406.00428418227	6244.415415575488	25977.645789840986	52291.42722321639	2846.719455578039	1096.8496986206155	4529.641166652213	2563.4230741240362	1238.1790349423918	851.7847348258678	314.2845786549782	0.47084294061693743	-0.205054722023559	1.755811213768409	1.0	1.0	1.0
500000	-51636.67884477768	1997.049376488865	-53633.728221266545	6.764848479065166	2018.82967206888	2732.521882206537	0.94455390518466	1.0658571805316956	1.0036000768035571	0.9378370247646423	1.1288478228705168	0.9193039898449278	0.26591317154529837	0.2666721038581535	0.24206360783622666	0.22535111676032177	0.07028639123104903	1.4801449813916032E-4	1.4801449813916075E-4	-53633.728221266545	0.0	1.368450224431725	-4.969758169843476	-23.78069105038605	-21834.000599853414	1.4989380104549863	0.7482084892427676	23886.0246576182	1.0	7.696772267780909	8.870520940438315	8.57181780146962	9.99695692743268	10.696186515673968	7.785867835639398	6.832845524368812	8.25152697130484	7.683485139455975	6.956295108064663	6.58304352147892	5.586040362755206	2201.23152712256	7118.988576395054	5280.720371919145	21959.539543357823	44187.02688851862	2406.3535614614525	927.8272146762037	3833.4749608324046	2172.1769348557846	1049.7371810565226	722.7356467485	266.6775798914071	0.3398110700366219	-0.21686772830130407	1.755811213768409	1.0	1.0	1.0
600000	-49728.01844012594	2371.4292180998627	-52099.4476582258	6.583113082661995	2019.0114074652831	2478.7680126578075	0.9318636049734234	1.0966029915584548	1.034432973945336	0.9043121617621667	1.1405918252705824	0.8921964424900363	0.26159764179998957	0.2606175791752949	0.24571261496053512	0.2320721640641807	0.0837230840583166	1.5151033771968725E-4	1.515103377196866E-4	-52099.4476582258	0.0	1.1307133856187184	-4.778458974491816	-22.799863597841224	-21459.58514655123	1.7139503506959162	0.7463651121209841	23884.256127080254	1.0	7.494653732387062	8.670214353144651	8.369114665142394	9.797736227866721	10.498494266736849	7.58053009139136	6.625645993331145	8.048762043147239	7.48052370800864	6.751886315876473	6.3784897371806775	5.378772777042239	1798.401929122576	5826.748197471924	4311.816970495551	17992.966812197657	36260.862361094	1959.667492974429	754.191257746563	3129.917868666398	1773.1691556985102	855.6713075358276	589.0374342181602	216.75610406540824	0.15426820727867252	-0.23033105809483856	1.7606514527465336	1.0	1.0	1.0
700000	-47991.27385276325	2608.165866700832	-50599.43971946408	6.310382452569025	2019.2841380953762	2295.177500176805	0.9139906918561351	1.1217582331396345	1.0131952651071447	0.8723161840110215	1.2059726729700941	0.8727669529159688	0.26219894568706176	0.2678884396248589	0.24073403600849616	0.2291785786795835	0.0319698515879216	1.4119071642355765E-4	1.4119071642355806E-4	-50599.43971946408	0.0	1.099008413177344	-4.7499859114016205	-22.661585686719075	-21221.26727451336	1.7169927436026469	0.7511289472713026	23884.066775601703	1.0	7.365797781897472	8.539033152232598	8.23536422031503	9.663256975400753	10.363363174266132	7.44601532833265	6.492381308197863	7.91635272204314	7.350350944893892	6.62262371656953	6.25067082207225	5.251010426735977	1580.9761977309036	5110.400992500614	3772.0134908147925	15728.930071539819	31677.539457299	1713.023690968435	660.0933789022276	2741.75285252592	1556.7427629060883	751.9153240176666	518.3604356843736	190.7589190245065	0.0856071870813766	-0.2513432431489928	1.7606514527465336	1.0	1.0	1.0
800000	-46680.85642690335	2639.716439257069	-49320.57286616042	6.1375637219965995	2019.4569568259485	2227.7015431512746	0.912286174527848	1.1199037268205028	1.003338856024875	0.8598810408633104	1.2214804029280375	0.8831097988354252	0.2705018113490227	0.2671498886200043	0.23623146434600006	0.22611683568497318	0.07580220575242523	1.3957111311178197E-4	1.3957111311178232E-4	-49320.57286616042	0.0	0.4652966002997905	-3.892755121523857	-21.901547152052746	-21191.45617251439	1.7446614725684115	0.7564783117712146	23884.569738081984	1.0	7.279057149491104	8.455683445808617	8.146200102851818	9.58149086616853	10.284765885584752	7.350944437386247	6.393557932612122	7.827370152816973	7.261467999823762	6.530809054100956	6.158881013306284	5.153335039578186	1449.620605054225	4701.718907366254	3450.2435538475997	14494.011834345725	29283.101428923204	1557.6669522709992	597.9803731616626	2508.324182618939	1424.3459427954313	685.9529601061652	472.8986114051758	173.00751616217943	0.04907373105944024	-0.2855568544797382	1.771172520527309	1.0	1.0	1.0
900000	-45474.59766467159	2914.9859064881834	-48389.583571159776	5.856770681595518	2019.7377498663498	2116.091114042638	0.888833245776088	1.137883539175788	1.0038641719805366	0.8520602124691785	1.2505057301500442	0.8668531004483633	0.27121375477266724	0.2650036306656699	0.23667666394788378	0.2271059506137794	0.039337834006273456	1.3396534420498433E-4	1.3396534420498428E-4	-48389.583571159776	0.0	0.8080621209944973	-4.442627023504714	-21.925644723626544	-20918.529373817888	1.7451845934166366	0.764253312681195	23888.362183436355	1.0	7.178447005133917	8.360302524379339	8.051716986850987	9.491880311419177	10.197753460963911	7.254596385314894	6.293413762982308	7.730961915339215	7.161745601357996	6.428220885142258	6.0541334368186455	5.045498286765864	1310.8709008732112	4273.987556268166	3139.1802779749905	13251.689217732168	26842.814855127563	1414.5919378115905	540.9970159257118	2277.7921905737276	1289.159328207999	619.0715682483034	425.8697025046249	155.3216746541083	-0.11647625436697773	-0.27140604838589577	1.7765426033286842	1.0	1.0	1.0
