sequence_ID,location
KP003810_Italy_2007,Europe
KP003811_Italy_2007,Europe
KP003812_Gabon_2007,Africa
KP003813_Democratic-Republic-of-the-Congo_2011,Africa
FJ445443_Singapore_2008-08,Asia
KP164568_Brazil_2014-08-26,South_America
KP164569_Brazil_2014-08-28,South_America
FJ445445_Singapore_2008-08,Asia
KP164570_Brazil_2014-09-03,South_America
FJ445463_Singapore_2008-07,Asia
KP702297_Comoros_2005,Africa
FJ445484_Singapore_2008-05,Asia
FJ445502_Singapore_2008-08,Asia
FJ445510_Singapore_2008-01,Asia
FJ445511_Singapore_2008-01,Asia
FJ513628_Sri-Lanka_2008-03,Asia
FJ513629_Sri-Lanka_2008-03,Asia
FJ513632_Sri-Lanka_2008-03,Asia
FJ513635_Sri-Lanka_2008-03,Asia
FJ513637_Sri-Lanka_2008-03,Asia
FJ513645_Sri-Lanka_2008-04,Asia
KC614648_Yemen_2011-01-25,Asia
FJ513654_Sri-Lanka_2008-04,Asia
FJ513657_Sri-Lanka_2008-04,Asia
FJ513673_Sri-Lanka_2008-04,Asia
FJ513675_Sri-Lanka_2008-04,Asia
FJ513679_Sri-Lanka_2008-04,Asia
MT636907_Democratic-Republic-of-the-Congo_2019-01-07,Africa
MT636908_Democratic-Republic-of-the-Congo_2019-01-07,Africa
MT636909_Democratic-Republic-of-the-Congo_2019-01-21,Africa
MT636910_Democratic-Republic-of-the-Congo_2019-01-21,Africa
MT636911_Democratic-Republic-of-the-Congo_2019-01-21,Africa
MT636912_Democratic-Republic-of-the-Congo_2019-02-01,Africa
MT636913_Democratic-Republic-of-the-Congo_2019-02-06,Africa
MT636914_Democratic-Republic-of-the-Congo_2019-03-26,Africa
MT636916_Democratic-Republic-of-the-Congo_2019-03-26,Africa
MT636917_Democratic-Republic-of-the-Congo_2019-03-21,Africa
MT636918_Democratic-Republic-of-the-Congo_2019-02,Africa
MT636919_Democratic-Republic-of-the-Congo_2019-03-20,Africa
MT636921_Democratic-Republic-of-the-Congo_2019-03-21,Africa
FJ807896_Singapore_2006,Asia
FJ807898_Bangladesh_2008,Asia
FJ959103_Mauritius_2006,Mauritius
KT324225_Malaysia_2009-01,Asia
KT324227_Malaysia_2009-03,Asia
FN295485_Malaysia_2008,Asia
FN295487_Malaysia_2008,Asia
KT336777_India_2009-04-08,Asia
FR687345_Malaysia_2009-02-05,Asia
FR687347_Malaysia_2009-02-12,Asia
FR717336_France_2005-12-26,Europe
FR717337_France_2005-12-26,Europe
JF274082_India_2006-09-27,Asia
EF210157_India_2006,Asia
MH000700_Brazil_2016-02-04,South_America
MH000703_Brazil_2016-02-15,South_America
MH000706_Brazil_2016-02-18,South_America
MH124571_India_2010,Asia
MH124572_India_2010,Asia
MH124573_India_2010,Asia
MH124574_India_2010,Asia
MH124575_India_2010,Asia
MH124576_India_2010,Asia
MH124577_India_2010,Asia
MH124578_India_2010,Asia
MH124579_India_2010,Asia
MH229986_Mauritius_2006,Mauritius
MK690206_Democratic-Republic-of-the-Congo_2019,Africa
KU940225_Brazil_2015-07-15,Asia
MH647212_Singapore_2009-11,Asia
MH647214_Singapore_2010-01,Asia
MH647215_Singapore_2010-02,Asia
GQ428210_India_2006-10-07,Asia
GQ428211_India_2006-10-07,Asia
GQ428213_India_2007-07-13,Asia
GQ428215_India_2008-05-29,Asia
EU244823_Italy_2007,Europe
EU372006_India_2007-06-11,Asia
JQ065890_China_2010-10,Asia
JQ065891_China_2010-10,Asia
JQ065892_China_2010-10,Asia
GU013528_Sri-Lanka_2008-03,Asia
GU013529_Sri-Lanka_2008-03,Asia
GU013530_Sri-Lanka_2008-04,Asia
GU189061_Sri-Lanka_2006,Asia
GU199350_China_2008,Asia
GU199353_China_2008,Asia
GU301780_Thailand_2008-10-21,Asia
KX009167_Thailand_2013,Asia
KX009171_Thailand_2013,Asia
KF283986_Comoros_2005,Africa
KF283987_Comoros_2005,Africa
MK935343_Democratic-Republic-of-the-Congo_2019-03-20,Africa
MK935344_Democratic-Republic-of-the-Congo_2019-03-05,Africa
KX228391_Brazil_2016-03-03,South_America
KX262989_Italy_2007,Europe
KX262993_Italy_2007,Europe
KX262996_Cameroon_2006,Africa
KX262997_Malaysia_2009,Asia
MK028836_Comoros_2005,Africa
MK028838_Sri-Lanka_2006,Asia
MK086029_Sri-Lanka_2006-11-14,Asia
AB455493_Sri-Lanka_2006,Asia
KY038946_Central-African-Republic_1975-06,Africa
KY038947_Central-African-Republic_1983-12,Africa
EU564334_Mauritius_2006-02-14,Mauritius
EU564335_India_2006-10-31,Asia
MK120201_Italy_2007-08-20,Europe
AB455494_Sri-Lanka_2006,Asia
MK120202_Italy_2007-08-25,Europe
HM045784_Central-African-Republic_1984-11-19,Africa
HM045794_USA_2006,North_America
HM045799_Sri-Lanka_2007,Asia
HM045801_Sri-Lanka_2007,Asia
HM045812_Uganda_1982,Africa
HM045822_Central-African-Republic_1978-10,Africa
KY575567_USA_2006,North_America
KY575568_USA_2006,North_America
KY575570_USA_2008,North_America
KY575571_USA_2006,North_America
KY575574_USA_1995,North_America
MT636922_Democratic-Republic-of-the-Congo_2019-03-22,Africa
MW161454_Sudan_2018-10,Africa
MW161453_Sudan_2018-10,Africa
MW161451_Sudan_2018-10,Africa
MW161450_Sudan_2018-10,Africa
MW161449_Sudan_2018-10,Africa
MW161448_Sudan_2018-10,Africa
MW161447_Sudan_2018-10,Africa
MW161416_Sudan_2018-10,Africa
MW161415_Sudan_2018-10,Africa
MW161414_Sudan_2018-10,Africa
MW161413_Sudan_2018-10,Africa
MW161412_Sudan_2018-10,Africa
MW161411_Sudan_2018-10,Africa
MW161410_Sudan_2018-10,Africa
MW161408_Sudan_2018-10,Africa
MW161407_Sudan_2018-10,Africa
MW161406_Sudan_2018-10,Africa
MW161372_Sudan_2018-10,Africa
MW161370_Sudan_2018-10,Africa
MW161368_Sudan_2018-10,Africa
MW161367_Sudan_2018-10,Africa
MW161366_Sudan_2018-10,Africa
MW161365_Sudan_2018-10,Africa
MW161364_Sudan_2018-10,Africa
MT666073_Cameroon_2018-06-28,Africa
MT666072_Cameroon_2016-10-20,Africa
MT666071_Cameroon_2018-09-17,Africa
MK473639_India_2016-10-23,Asia
MW281311_France_2017-09-12,Europe
MK473640_India_2016-10-18,Asia
KY704939_Brazil_2016-04-17,South_America
ON642355_India_2010,Asia
ON642354_India_2010,Asia
OP312942_Brazil_27-Mar-2018,South_America
OQ750692_India_2010,Asia
OQ750695_India_2010,Asia
OQ750693_India_2010,Asia
OQ750694_India_2010,Asia
OR037306_China_2018,Asia
OQ148629_Brazil_28-Aug-2014,South_America
OQ148630_Brazil_10-Oct-2014,South_America
OQ148648_Brazil_04-Sep-2016,South_America
OP168354_Myanmar_Jul-2019,Asia
OP168357_Myanmar_Jul-2019,Asia
OP168356_Myanmar_Jul-2019,Asia
OP168355_Myanmar_Jul-2019,Asia
OP168359_Myanmar_Jul-2019,Asia
OP168361_Myanmar_Jul-2019,Asia
OP168360_Myanmar_Jul-2019,Asia
OP168362_Myanmar_Jul-2019,Asia
OP168358_Myanmar_Jul-2019,Asia
OP168364_Myanmar_Jul-2019,Asia
OP168365_Myanmar_Jul-2019,Asia
OP168366_Myanmar_Jul-2019,Asia
OP168368_Myanmar_Jul-2019,Asia
OP168363_Myanmar_Jul-2019,Asia
OP168367_Myanmar_Jul-2019,Asia
OP168369_Myanmar_Jul-2019,Asia
OP168370_Myanmar_Jul-2019,Asia
PP336995_Brazil_28-Apr-2016,South_America
PP337001_Brazil_07-Apr-2016,South_America
PP337003_Brazil_08-Apr-2016,South_America
PP337009_Brazil_08-Apr-2016,South_America
PP337010_Brazil_28-Apr-2016,South_America
PP349434_India_2006,Asia
