sequence_ID,location
CHIKV_RUN_S12b41_2024,Réunion
CHIKV_RUN_S8b01_2024,Réunion
CHIKV_RUN_S8b06_2024,Réunion
CHIKV_RUN_S9b21_2025,Réunion
CHIKV_RUN_S12b11_2025,Réunion
CHIKV_RUN_S12b13_2025,Réunion
CHIKV_RUN_S17b16_2025,Réunion
CHIKV_RUN_S8b03_2024,Réunion
CHIKV_RUN_S37b33_2025,Réunion
CHIKV_RUN_S4b3_2024,Réunion
CHIKV_RUN_S06b01_2024,Réunion
CHIKV_RUN_S2b93_2024,Réunion
CHIKV_RUN_S3b83_2024,Réunion
CHIKV_RUN_S3b82_2024,Réunion
CHIKV_RUN_S2b92_2024,Réunion
CHIKV_RUN_S39b32_2025,Réunion
CHIKV_RUN_S8b57_2025,Réunion
CHIKV_RUN_S15b22_2025,Réunion
CHIKV_RUN_S52b49_2025,Réunion
CHIKV_RUN_S5b06_2024,Réunion
CHIKV_RUN_S31b19_2025,Réunion
CHIKV_RUN_S23b06_2025,Réunion
CHIKV_RUN_S13b06_2025,Réunion
CHIKV_RUN_S10b64_2025,Réunion
CHIKV_RUN_S8b26_2024,Réunion
CHIKV_RUN_S35b83_2025,Réunion
CHIKV_RUN_S48b40_2025,Réunion
CHIKV_RUN_S53b32_2025,Réunion
CHIKV_RUN_S12b23_2025,Réunion
CHIKV_RUN_S47b30_2025,Réunion
CHIKV_RUN_S8b07_2024,Réunion
CHIKV_RUN_S12b28_2025,Réunion
CHIKV_RUN_S18b71_2025,Réunion
CHIKV_RUN_S14b45_2025,Réunion
CHIKV_RUN_S50b94_2025,Réunion
CHIKV_RUN_S15b27_2025,Réunion
CHIKV_RUN_S20b14_2025,Réunion
CHIKV_RUN_S44b07_2025,Réunion
CHIKV_RUN_S52b74_2025,Réunion
CHIKV_RUN_S53b69_2025,Réunion
CHIKV_RUN_S54b41_2025,Réunion
CHIKV_RUN_S32b49_2025,Réunion
CHIKV_RUN_S47b23_2025,Réunion
CHIKV_RUN_S54b42_2025,Réunion
CHIKV_RUN_S10b29_2025,Réunion
CHIKV_RUN_S23b74_2025,Réunion
CHIKV_RUN_S54b46_2025,Réunion
CHIKV_RUN_S48b53_2025,Réunion
CHIKV_RUN_S54b44_2025,Réunion
CHIKV_RUN_S41b79_2025,Réunion
CHIKV_RUN_S54b35_2025,Réunion
CHIKV_RUN_S47b16_2025,Réunion
CHIKV_RUN_S54b48_2025,Réunion
KJ941050_USA_2006,North_America
FJ445426_Sri-Lanka_2008-04,Asia
FJ445427_Sri-Lanka_2007-07,Asia
FJ445428_Sri-Lanka_2007-05,Asia
FJ445430_Singapore_2008-07,Asia
FJ445431_Singapore_2008-07,Asia
KP003807_France_2006,Europe
FJ445432_Singapore_2008-07,Asia
FJ445433_Singapore_2008-08,Asia
KP003808_Madagascar_2006,Africa
KP003809_Mayotte_2006,Africa
