NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
97401520;LE TEVELAVE;-21.211667;55.361333;908;202401;1429.2;1;31;;263.4;1;25;24;19;16;12;7;6;;;0;;;;24.6;1;31;;28.0;1;4;21.9;1;25;0;12;0;0;0;29;0;18.7;1;31;;15.7;1;18;21.5;1;24;0;0;0;0;25;6;0;0;5.9;1;9.4;1;12;31;21.6;1;31;21.2;1;31;1;20.0;1;11;24.6;1;4;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202402;272.7;1;29;;116.1;1;22;15;8;4;2;2;1;;;0;;;;24.5;1;29;;27.1;1;12;19.4;1;2;0;12;0;0;1;28;0;17.3;1;29;;13.5;1;6;20.1;1;26;0;0;0;5;27;2;0;0;7.1;1;10.5;1;7;29;20.9;1;29;20.5;1;29;0;18.0;1;5;23.0;1;23;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202403;112.3;1;31;;23.0;1;11;15;8;4;0;0;0;;;0;;;;25.1;1;31;;28.0;1;3;18.5;1;25;0;18;0;0;1;29;0;16.9;1;31;;14.0;1;2;20.0;1;4;0;0;0;3;31;1;0;0;8.2;1;12.9;1;3;31;21.0;1;31;20.3;1;31;0;17.8;1;25;23.1;1;11;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202404;68.2;1;30;;25.0;1;14;14;4;2;0;0;0;;;0;;;;23.4;1;30;;27.0;1;11;19.9;1;15;0;3;0;0;2;30;0;16.7;1;30;;12.7;1;18;18.9;1;4;0;0;0;4;30;0;0;0;6.7;1;10.9;1;11;30;20.0;1;30;19.5;1;30;0;16.6;1;18;22.7;1;4;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202405;106.0;1;31;;55.5;1;20;7;5;3;1;1;0;;;0;;;;20.7;1;31;;26.0;1;3;17.5;1;21;0;1;0;0;11;31;0;13.9;1;31;;10.6;1;17;17.3;1;3;0;0;0;22;31;0;0;0;6.7;1;10.3;1;8;31;17.3;1;31;17.0;1;31;0;14.8;1;24;21.7;1;3;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202406;34.6;1;30;;11.0;1;15;6;2;1;0;0;0;;;0;;;;19.2;1;30;;22.0;1;14;15.5;1;28;0;0;0;0;20;30;0;12.4;1;30;;7.8;1;30;16.7;1;16;0;0;2;25;30;0;0;0;6.7;1;11.6;1;30;30;15.8;1;30;15.4;1;30;0;13.5;1;28;18.7;1;14;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202407;24.5;1;31;;17.5;1;1;3;1;1;0;0;0;;;0;;;;19.0;1;31;;20.8;1;30;16.8;1;4;0;0;0;0;26;31;0;10.7;1;31;;7.4;1;10;13.4;1;2;0;0;10;31;31;0;0;0;8.4;1;10.3;1;27;31;14.9;1;31;14.6;1;31;0;12.3;1;10;16.4;1;30;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202408;58.9;1;31;;35.8;1;24;4;3;2;1;0;0;;;0;;;;18.6;1;31;;21.9;1;13;15.1;1;24;0;0;0;0;26;31;0;10.9;1;31;;8.1;1;6;13.7;1;18;0;0;6;31;31;0;0;0;7.7;1;11.3;1;6;31;14.8;1;31;14.5;1;31;0;12.5;1;24;16.9;1;18;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202409;53.5;1;30;;34.4;1;13;3;2;2;1;0;0;;;0;;;;19.3;1;30;;21.6;1;23;16.6;1;14;0;0;0;0;22;30;0;11.8;1;30;;8.4;1;15;14.0;1;20;0;0;2;30;30;0;0;0;7.5;1;11.7;1;21;30;15.5;1;30;15.4;1;30;0;12.7;1;15;17.0;1;23;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
97401520;LE TEVELAVE;-21.211667;55.361333;908;202410;172.0;1;31;;149.4;1;4;6;2;1;1;1;1;;;0;;;;20.1;1;31;;22.9;1;28;17.2;1;4;0;0;0;0;16;31;0;13.0;1;31;;9.8;1;7;15.5;1;25;0;0;1;29;31;0;0;0;7.1;1;9.5;1;10;31;16.6;1;31;16.4;1;31;0;13.8;1;7;18.7;1;28;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
