node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,tipLabel
3115,3116,REU.3.5_1,NA,0.0328498954162018,0.0328498954162018,0,2024.58179914039,2024.6146490358,NA
3115,5854,REU.3.5_1,NA,0.0297809343007945,0.0297809343007945,0,2024.58179914039,2024.61158007469,NA
5854,3114,NA,REU.3.5_1,0.00590626410931161,0.0356871984101061,0.0297809343007945,2024.61158007469,2024.6174863388,CHIKV_RUN_S06b01_2024
3116,3117,NA,NA,0.0272076052341937,0.0600575006503955,0.0328498954162018,2024.6146490358,2024.64185664104,NA
3116,2739,NA,REU.3.5_1,0.0383564286769993,0.071206324093201,0.0328498954162018,2024.6146490358,2024.65300546448,CHIKV_RUN_S2b92_2024
3117,3118,NA,NA,0.0202281075017859,0.0802856081521814,0.0600575006503955,2024.64185664104,2024.66208474854,NA
3117,2738,NA,REU.3.5_1,0.0302745065029161,0.0903320071533116,0.0600575006503955,2024.64185664104,2024.67213114754,CHIKV_RUN_S2b93_2024
5854,5855,NA,NA,0.062145732595391,0.0919266668961856,0.0297809343007945,2024.61158007469,2024.67372580728,NA
3118,3119,NA,NA,0.0186699666323682,0.0989555747845496,0.0802856081521814,2024.66208474854,2024.68075471517,NA
5855,5916,NA,NA,0.0178753081668911,0.109801975063077,0.0919266668961856,2024.67372580728,2024.69160111545,NA
5916,5917,NA,NA,0.00232786629955239,0.112129841362629,0.109801975063077,2024.69160111545,2024.69392898175,NA
5917,2801,NA,REU.3.5_1,0.0027923297250454,0.114922171087674,0.112129841362629,2024.69392898175,2024.69672131148,CHIKV_RUN_S3b83_2024
3118,1,NA,REU.3.4_1,0.045565524684225,0.125851132836406,0.0802856081521814,2024.66208474854,2024.70765027322,CHIKV_RUN_S3b82_2024
5916,3113,NA,REU.3.5_1,0.0433715621448189,0.153173537207896,0.109801975063077,2024.69160111545,2024.7349726776,CHIKV_RUN_S12b41_2024
3119,3120,NA,NA,0.0734917978831803,0.17244737266773,0.0989555747845496,2024.68075471517,2024.75424651306,NA
3120,3121,NA,NA,0.00689474163971293,0.179342114307443,0.17244737266773,2024.75424651306,2024.7611412547,NA
5917,5918,NA,NA,0.0672374708882165,0.179367312250846,0.112129841362629,2024.69392898175,2024.76116645264,NA
3119,4148,NA,NA,0.0860032668114445,0.184958841595994,0.0989555747845496,2024.68075471517,2024.76675798198,NA
4148,4911,NA,NA,0.0214451839256714,0.206404025521666,0.184958841595994,2024.76675798198,2024.78820316591,NA
5918,5919,NA,NA,0.0297969634160445,0.20916427566689,0.179367312250846,2024.76116645264,2024.79096341605,NA
3121,3122,NA,NA,0.0310754947144443,0.210417609021887,0.179342114307443,2024.7611412547,2024.79221674941,NA
3122,3479,NA,NA,0.00607820001726922,0.216495809039156,0.210417609021887,2024.79221674941,2024.79829494943,NA
4911,5272,NA,NA,0.0101754651338671,0.216579490655533,0.206404025521666,2024.78820316591,2024.79837863104,NA
5272,5273,NA,NA,0.00710572333115445,0.223685213986687,0.216579490655533,2024.79837863104,2024.80548435437,NA
5918,5981,NA,NA,0.0469345070029046,0.22630181925375,0.179367312250846,2024.76116645264,2024.80810095964,NA
3479,3480,NA,NA,0.0125452133726002,0.229041022411757,0.216495809039156,2024.79829494943,2024.8108401628,NA
3120,1030,NA,REU.3.5_1,0.0599611372177339,0.232408509885464,0.17244737266773,2024.75424651306,2024.81420765027,CHIKV_RUN_S4b3_2024
5919,5920,NA,NA,0.026589501519674,0.235753777186564,0.20916427566689,2024.79096341605,2024.81755291757,NA
4911,4912,NA,NA,0.030416992153564,0.23682101767523,0.206404025521666,2024.78820316591,2024.81862015806,NA
3121,3907,NA,NA,0.0623474807766526,0.241689595084095,0.179342114307443,2024.7611412547,2024.82348873547,NA
5273,5456,NA,REU.4.3_1,0.019435542998186,0.243120756984873,0.223685213986687,2024.80548435437,2024.82491989737,NA
4148,4149,NA,NA,0.0603652315914536,0.245324073187448,0.184958841595994,2024.76675798198,2024.82712321358,NA
5272,5684,NA,NA,0.0305910866255281,0.247170577281061,0.216579490655533,2024.79837863104,2024.82896971767,NA
3479,3659,NA,NA,0.0315130573613828,0.248008866400539,0.216495809039156,2024.79829494943,2024.82980800679,NA
5684,5729,NA,NA,0.00263827093357394,0.249808848214635,0.247170577281061,2024.82896971767,2024.8316079886,NA
3907,3908,NA,NA,0.0125176081703254,0.254207203254421,0.241689595084095,2024.82348873547,2024.83600634364,NA
3659,3660,NA,NA,0.00653334246618065,0.25454220886672,0.248008866400539,2024.82980800679,2024.83634134925,NA
5981,5982,NA,NA,0.0289556921489892,0.255257511402739,0.22630181925375,2024.80810095964,2024.83705665179,NA
5684,5685,NA,NA,0.00875684378756048,0.255927421068621,0.247170577281061,2024.82896971767,2024.83772656146,NA
5982,6055,NA,NA,0.00180708019263509,0.257064591595374,0.255257511402739,2024.83705665179,2024.83886373198,NA
5456,5457,REU.4.3_1,NA,0.0172593532515116,0.260380110236385,0.243120756984873,2024.82491989737,2024.84217925062,NA
3122,3123,NA,NA,0.0510276816820642,0.261445290703951,0.210417609021887,2024.79221674941,2024.84324443109,NA
5685,2611,NA,REU.3.5_1,0.00653573362568505,0.262463154694306,0.255927421068621,2024.83772656146,2024.84426229508,CHIKV_RUN_S5b01_2024
4912,4972,NA,NA,0.027329167893431,0.264150185568661,0.23682101767523,2024.81862015806,2024.84594932596,NA
4149,4150,NA,NA,0.020369630120147,0.265693703307595,0.245324073187448,2024.82712321358,2024.8474928437,NA
4972,4973,NA,NA,0.00197794045201716,0.266128126020678,0.264150185568661,2024.84594932596,2024.84792726641,NA
