# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Wed Nov 05 06:31:30 CET 2025 [seed=1762319691986]
# -beagle_gpu -beagle_double -beagle_order 1 -overwrite Alignment_101025_glm.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100000	0.5738507466840707	0.9880490899443538	-0.4803173353779826	-1.5145279361100157	-0.16868421509762752	0.7527073499122847	-0.3184897848561627	1.0155371126659825	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.5738507466840707	0.9880490899443538	-0.4803173353779826	-0.0	-0.16868421509762752	0.0	-0.3184897848561627	0.0
200000	0.5922227517077101	1.0588826249310541	-0.49126364595532673	-0.8050751238816755	-0.1808621121544073	-0.7132258710451117	-0.32631593517653135	0.08583449508127397	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5922227517077101	1.0588826249310541	-0.49126364595532673	-0.0	-0.1808621121544073	-0.0	-0.32631593517653135	0.08583449508127397
300000	0.36549303554213497	0.8814164525449182	-0.3732682005036889	0.44254675241437447	-0.23920521565887543	-0.4370338792175551	-0.30624859228313134	0.1441237192185159	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.36549303554213497	0.8814164525449182	-0.3732682005036889	0.44254675241437447	-0.23920521565887543	-0.0	-0.30624859228313134	0.1441237192185159
400000	0.5194036451313818	0.9886925440584052	-0.4494560825909396	0.12929153238779634	-0.19578546160434823	-5.485058334055117	-0.36221008969199436	0.11514746354736681	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.5194036451313818	0.9886925440584052	-0.4494560825909396	0.12929153238779634	-0.19578546160434823	-0.0	-0.36221008969199436	0.11514746354736681
500000	0.31164330791205824	0.8245745577774946	-0.3430292894306378	0.3869388668944855	-0.28243567534547975	-1.064366519738149	-0.40088948655219153	0.12089394534755249	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.31164330791205824	0.8245745577774946	-0.3430292894306378	0.3869388668944855	-0.28243567534547975	-0.0	-0.40088948655219153	0.12089394534755249
600000	0.2830848363162695	0.795312833953481	-0.3063240282499984	0.5930629600699686	-0.3223685559519444	-1.283149207072077	-0.30700348260423127	0.16079106805022456	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.2830848363162695	0.795312833953481	-0.3063240282499984	0.5930629600699686	-0.3223685559519444	-0.0	-0.30700348260423127	0.16079106805022456
700000	0.5260701325126402	1.0181381547260016	-0.5138379806872482	1.009244549502524	-0.2271935065656257	-2.335709476276231	-0.41831440824730054	-2.9567616113296937	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.5260701325126402	1.0181381547260016	-0.5138379806872482	0.0	-0.2271935065656257	-0.0	-0.41831440824730054	-0.0
800000	0.5442440757257884	1.0026750146695105	-0.5374265806714288	0.2869994408780344	-0.23814330305337095	1.17083299958066	-0.3719901004462886	0.06682495731616483	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5442440757257884	1.0026750146695105	-0.5374265806714288	0.0	-0.23814330305337095	0.0	-0.3719901004462886	0.06682495731616483
900000	0.3522058528230041	0.8360199807229843	-0.3697793371096113	0.4183517032611962	-0.21185806140495722	2.5362282604420945	-0.37803052547269034	0.08017083251661489	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.3522058528230041	0.8360199807229843	-0.3697793371096113	0.4183517032611962	-0.21185806140495722	0.0	-0.37803052547269034	0.08017083251661489
1000000	0.47765534203882426	0.9452112187001295	-0.4241666186189082	0.1794651364670841	-0.20170178144741877	-1.830583079224638	-0.24719554754297351	0.06399415207668126	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.47765534203882426	0.9452112187001295	-0.4241666186189082	0.1794651364670841	-0.20170178144741877	-0.0	-0.24719554754297351	0.06399415207668126
1100000	0.32807302979797454	0.8581705899148097	-0.3160650407405728	0.5583008855282918	-0.2142326433575361	0.5343000397481759	-0.33133418290539074	0.12114801425896099	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.32807302979797454	0.8581705899148097	-0.3160650407405728	0.5583008855282918	-0.2142326433575361	0.0	-0.33133418290539074	0.12114801425896099
1200000	0.5383949744669884	1.0413910490271368	-0.519778742252661	-1.5906864565643952	-0.19134552433524948	-0.4358193635423127	-0.3111430915669399	0.11343323711781	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5383949744669884	1.0413910490271368	-0.519778742252661	-0.0	-0.19134552433524948	-0.0	-0.3111430915669399	0.11343323711781
1300000	0.5560910138554125	1.0227758102991527	-0.49265638970103304	-0.11912816011480076	-0.22176832766063367	0.6961452080490729	-0.36081255838428133	0.12043005729507672	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5560910138554125	1.0227758102991527	-0.49265638970103304	-0.0	-0.22176832766063367	0.0	-0.36081255838428133	0.12043005729507672
1400000	0.5552493625123559	1.0738622665368016	-0.5394264192532666	-3.4786199394517574	-0.2500124510862198	2.895061257118206	-0.29705507861349684	0.18150421768937763	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5552493625123559	1.0738622665368016	-0.5394264192532666	-0.0	-0.2500124510862198	0.0	-0.29705507861349684	0.18150421768937763
1500000	0.5169598992654718	0.8846163045605541	-0.43427466293239503	0.13430524741559333	-0.1876041416478182	-1.177614131282373	-0.3036221342499273	0.004029359622714734	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.5169598992654718	0.8846163045605541	-0.43427466293239503	0.13430524741559333	-0.1876041416478182	-0.0	-0.3036221342499273	0.004029359622714734
1600000	0.3942696859936975	0.8630844785533275	-0.4079257272889493	0.35942836659280375	-0.22555632184915297	0.3360375770281575	-0.27715910932735116	0.1611267886438575	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.3942696859936975	0.8630844785533275	-0.4079257272889493	0.35942836659280375	-0.22555632184915297	0.0	-0.27715910932735116	0.1611267886438575
1700000	0.5543022959744873	1.0270339040702083	-0.5292831696355085	1.8757523640017244	-0.20959681701372485	4.486109769789567	-0.336760550300398	0.06653948896484764	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5543022959744873	1.0270339040702083	-0.5292831696355085	0.0	-0.20959681701372485	0.0	-0.336760550300398	0.06653948896484764
1800000	0.6265017294691282	1.0991750479320455	-0.5192203216893517	-2.39843846863267	-0.16650334845160772	-3.160671708658384	-0.33110108904611035	0.14182892083991386	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.6265017294691282	1.0991750479320455	-0.5192203216893517	-0.0	-0.16650334845160772	-0.0	-0.33110108904611035	0.14182892083991386
1900000	0.6043837271668786	1.0767542466529765	-0.516438913784845	0.14835700946750785	-0.2009291744835629	-1.6821958883819594	-0.26165515290506514	0.13606407726348607	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.6043837271668786	1.0767542466529765	-0.516438913784845	0.0	-0.2009291744835629	-0.0	-0.26165515290506514	0.13606407726348607
2000000	0.5471629459510441	1.0051056151734725	-0.46679247570700355	0.38753666850631857	-0.27317932733434974	0.22965165713810515	-0.3076888195166974	2.413635848280845	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.5471629459510441	1.0051056151734725	-0.46679247570700355	0.0	-0.27317932733434974	0.0	-0.3076888195166974	0.0
2100000	0.5956337131370298	1.026847367153448	-0.5104174995456459	1.316065991845589	-0.2533901572730397	0.8069775867756905	-0.2884036132839542	0.1315240483231601	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5956337131370298	1.026847367153448	-0.5104174995456459	0.0	-0.2533901572730397	0.0	-0.2884036132839542	0.1315240483231601
2200000	0.5671871408257569	1.0855052382769161	-0.4630070540463108	-2.2209680624321377	-0.21577440385993413	2.362596113712217	-0.3098313800927113	0.11457555114728453	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5671871408257569	1.0855052382769161	-0.4630070540463108	-0.0	-0.21577440385993413	0.0	-0.3098313800927113	0.11457555114728453
2300000	0.5909777057141667	1.042986237461329	-0.5176821248918191	-1.9030981348257432	-0.21076961230929156	-0.6326279898545879	-0.2779089840912769	0.14333586855972685	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.5909777057141667	1.042986237461329	-0.5176821248918191	-0.0	-0.21076961230929156	-0.0	-0.2779089840912769	0.14333586855972685
2400000	0.6053747926363429	1.1082039870485187	-0.5600728511972509	0.04388403038957944	-0.16771845533751473	-0.18667748993424732	-0.24444023193849215	0.15351559296378892	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.6053747926363429	1.1082039870485187	-0.5600728511972509	0.0	-0.16771845533751473	-0.0	-0.24444023193849215	0.15351559296378892
