location,latitude,longitude
REU.1.1_1,-20.9900755333333,55.6717684333333
REU.1.2_1,-21.1361136923077,55.6265498461538
REU.1.3_1,-20.9545880641026,55.6553899871795
REU.1.4_1,-21.0608883026316,55.7146371578947
REU.1.5_1,-21.1381493333333,55.7966975555556
REU.1.6_1,-21.0434240769231,55.5248424615385
REU.2.1_1,-20.9510592845952,55.3438097046531
REU.2.2_1,-20.9422993913043,55.3009228478261
REU.2.3_1,-20.898240242126,55.463340738189
REU.2.4_1,-20.9213711717172,55.5372754141414
REU.2.5_1,-20.9241472833333,55.60455745
REU.3.1_1,-21.2591665,55.3637634810127
REU.3.2_1,-21.2356573181818,55.3418712272727
REU.3.3_1,-21.1101464482759,55.2909857241379
REU.3.4_1,-21.1840256048387,55.3082863951613
REU.3.5_1,-21.0383377596567,55.2785362746781
REU.4.1_1,-21.1518348700867,55.4716161444978
REU.4.2_1,-21.2449715098039,55.4765357647059
REU.4.3_1,-21.2661519384289,55.5195778704883
REU.4.4_1,-21.3471558648649,55.5611665045045
REU.4.5_1,-21.3611701573604,55.6305760253807
REU.4.6_1,-21.2659267464789,55.4263358685446
REU.4.7_1,-21.3644977241379,55.7471865172414
REU.4.8_1,-21.3137867436548,55.4852602335025
