state	joint	prior	likelihood	location.meanRate	location.includedPredictors	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.branchRates	location.treeLikelihood
0	-21580.32428177833	-27.328166987134566	-21552.996114791193	0.001	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-21552.996114791193
100000	-8830.895591980396	-874.8122886045198	-7956.083303375876	2.13015608235233	5.0	0.5738507466840707	0.9880490899443538	-0.4803173353779826	-0.0	-0.16868421509762752	0.0	-0.3184897848561627	0.0	0.0	-7956.083303375876
200000	-8782.461572782058	-863.2994683411785	-7919.16210444088	2.180296487915089	6.0	0.5922227517077101	1.0588826249310541	-0.49126364595532673	-0.0	-0.1808621121544073	-0.0	-0.32631593517653135	0.08583449508127397	0.0	-7919.16210444088
300000	-8807.302801819005	-881.4266488655022	-7925.876152953502	2.053708989546822	7.0	0.36549303554213497	0.8814164525449182	-0.3732682005036889	0.44254675241437447	-0.23920521565887543	-0.0	-0.30624859228313134	0.1441237192185159	0.0	-7925.876152953502
400000	-8791.063948652738	-854.7520402379319	-7936.311908414806	2.1530295001095685	7.0	0.5194036451313818	0.9886925440584052	-0.4494560825909396	0.12929153238779634	-0.19578546160434823	-0.0	-0.36221008969199436	0.11514746354736681	0.0	-7936.311908414806
500000	-8813.913684076462	-861.1812762421215	-7952.732407834341	2.094302538989249	7.0	0.31164330791205824	0.8245745577774946	-0.3430292894306378	0.3869388668944855	-0.28243567534547975	-0.0	-0.40088948655219153	0.12089394534755249	0.0	-7952.732407834341
600000	-8800.456671491715	-873.8297752862383	-7926.6268962054755	2.1896485599939677	7.0	0.2830848363162695	0.795312833953481	-0.3063240282499984	0.5930629600699686	-0.3223685559519444	-0.0	-0.30700348260423127	0.16079106805022456	0.0	-7926.6268962054755
700000	-8799.649557854571	-872.2574662350063	-7927.392091619565	2.1074592696513053	5.0	0.5260701325126402	1.0181381547260016	-0.5138379806872482	0.0	-0.2271935065656257	-0.0	-0.41831440824730054	-0.0	0.0	-7927.392091619565
800000	-8803.056938136711	-837.3645334645321	-7965.692404672179	2.027773948930241	6.0	0.5442440757257884	1.0026750146695105	-0.5374265806714288	0.0	-0.23814330305337095	0.0	-0.3719901004462886	0.06682495731616483	0.0	-7965.692404672179
900000	-8840.413801505387	-879.1877237142812	-7961.226077791105	2.021072533328015	7.0	0.3522058528230041	0.8360199807229843	-0.3697793371096113	0.4183517032611962	-0.21185806140495722	0.0	-0.37803052547269034	0.08017083251661489	0.0	-7961.226077791105
