trait	collection_date	location	longitude	latitude
CHIKV_RUN_S19b52_2025	2025-03-13	REU.2.3_1	55.493743	-20.902481
CHIKV_RUN_S19b40_2025	2025-03-13	REU.4.8_1	55.521678	-21.356251
CHIKV_RUN_S19b46_2025	2025-03-13	REU.3.1_1	55.364173	-21.24993
CHIKV_RUN_S19b47_2025	2025-03-13	REU.2.4_1	55.5589	-20.899424
CHIKV_RUN_S19b87_2025	2025-03-14	REU.4.2_1	55.468504	-21.24505
CHIKV_RUN_S19b81_2025	2025-03-14	REU.3.4_1	55.319437	-21.213998
CHIKV_RUN_S20b28_2025	2025-03-14	REU.4.6_1	55.431827	-21.24552
CHIKV_RUN_S19b95_2025	2025-03-14	REU.2.3_1	55.427046	-20.876761
CHIKV_RUN_S19b74_2025	2025-03-14	REU.4.6_1	55.415033	-21.26939
CHIKV_RUN_S19b86_2025	2025-03-14	REU.4.7_1	55.764023	-21.360531
CHIKV_RUN_S20b31_2025	2025-03-14	REU.4.1_1	55.467884	-21.146662
CHIKV_RUN_S19b73_2025	2025-03-14	REU.4.8_1	55.534789	-21.314946
CHIKV_RUN_S20b17_2025	2025-03-14	REU.4.3_1	55.508697	-21.283779
CHIKV_RUN_S19b92_2025	2025-03-14	REU.4.2_1	55.473528	-21.250753
CHIKV_RUN_S20b38_2025	2025-03-14	REU.2.3_1	55.423079	-20.87676
CHIKV_RUN_S19b82_2025	2025-03-14	REU.4.3_1	55.581068	-21.201849
CHIKV_RUN_S19b64_2025	2025-03-14	REU.4.4_1	55.565613	-21.360891
CHIKV_RUN_S19b75_2025	2025-03-14	REU.1.3_1	55.619233	-20.956399
CHIKV_RUN_S20b37_2025	2025-03-14	REU.4.5_1	55.644412	-21.379083
CHIKV_RUN_S22b03_2025	2025-03-17	REU.3.5_1	55.275771	-21.049194
CHIKV_RUN_S21b83_2025	2025-03-17	REU.4.8_1	55.487626	-21.348676
CHIKV_RUN_S20b92_2025	2025-03-17	REU.4.6_1	55.436741	-21.260014
CHIKV_RUN_S22b13_2025	2025-03-17	REU.2.1_1	55.333527	-20.944568
CHIKV_RUN_S22b02_2025	2025-03-17	REU.2.1_1	55.349438	-20.953558
CHIKV_RUN_S20b89_2025	2025-03-17	REU.4.5_1	55.631708	-21.316831
CHIKV_RUN_S20b93_2025	2025-03-17	REU.4.8_1	55.475097	-21.286417
CHIKV_RUN_S21b95_2025	2025-03-17	REU.2.3_1	55.489259	-20.899933
CHIKV_RUN_S21b84_2025	2025-03-17	REU.4.8_1	55.51112	-21.338051
CHIKV_RUN_S20b88_2025	2025-03-17	REU.4.8_1	55.48033	-21.336361
CHIKV_RUN_S20b76_2025	2025-03-17	REU.4.1_1	55.465028	-21.141487
CHIKV_RUN_S21b89_2025	2025-03-17	REU.4.8_1	55.535711	-21.322413
CHIKV_RUN_S20b47_2025	2025-03-18	REU.2.1_1	55.340997	-20.937638
CHIKV_RUN_S21b05_2025	2025-03-18	REU.4.8_1	55.506893	-21.288194
CHIKV_RUN_S20b57_2025	2025-03-18	REU.4.8_1	55.483212	-21.341105
CHIKV_RUN_S20b50_2025	2025-03-18	REU.4.6_1	55.433162	-21.278064
CHIKV_RUN_S21b03_2025	2025-03-18	REU.4.3_1	55.52977	-21.284634
CHIKV_RUN_S20b39_2025	2025-03-18	REU.4.2_1	55.465985	-21.255257
CHIKV_RUN_S20b49_2025	2025-03-18	REU.4.5_1	55.649742	-21.383587
CHIKV_RUN_S20b43_2025	2025-03-18	REU.4.8_1	55.4906	-21.329232
CHIKV_RUN_S20b42_2025	2025-03-18	REU.1.3_1	55.647533	-20.932677
CHIKV_RUN_S20b51_2025	2025-03-18	REU.4.8_1	55.49073	-21.34553
CHIKV_RUN_S20b65_2025	2025-03-18	REU.3.3_1	55.286864	-21.111585
CHIKV_RUN_S22b84_2025	2025-03-19	REU.4.4_1	55.575885	-21.368512
CHIKV_RUN_S22b43_2025	2025-03-19	REU.4.8_1	55.463335	-21.340704
CHIKV_RUN_S22b77_2025	2025-03-19	REU.4.4_1	55.566667	-21.351024
CHIKV_RUN_S22b83_2025	2025-03-19	REU.2.3_1	55.494269	-20.931237
CHIKV_RUN_S22b41_2025	2025-03-19	REU.4.6_1	55.422013	-21.27309
CHIKV_RUN_S22b46_2025	2025-03-19	REU.3.2_1	55.336202	-21.236034
CHIKV_RUN_S22b36_2025	2025-03-19	REU.3.2_1	55.333805	-21.244043
CHIKV_RUN_S22b45_2025	2025-03-19	REU.2.3_1	55.448194	-20.892832
CHIKV_RUN_S22b50_2025	2025-03-19	REU.3.5_1	55.233382	-21.091761
CHIKV_RUN_S22b35_2025	2025-03-19	REU.4.4_1	55.555127	-21.369235
CHIKV_RUN_S23b24_2025	2025-03-20	REU.4.8_1	55.49928	-21.292395
CHIKV_RUN_S23b26_2025	2025-03-20	REU.2.3_1	55.456567	-20.885699
CHIKV_RUN_S25b12_2025	2025-03-20	REU.4.3_1	55.518411	-21.239174
CHIKV_RUN_S25b14_2025	2025-03-20	REU.4.3_1	55.508427	-21.27015
CHIKV_RUN_S26b38_2025	2025-03-20	REU.4.2_1	55.471311	-21.236192
CHIKV_RUN_S23b29_2025	2025-03-20	REU.4.6_1	55.424692	-21.262921
CHIKV_RUN_S23b87_2025	2025-03-20	REU.4.8_1	55.459303	-21.338147
CHIKV_RUN_S23b21_2025	2025-03-20	REU.4.5_1	55.595952	-21.375777
CHIKV_RUN_S23b40_2025	2025-03-20	REU.4.8_1	55.511703	-21.346504
CHIKV_RUN_S23b79_2025	2025-03-20	REU.4.8_1	55.486291	-21.289026
CHIKV_RUN_S22b70_2025	2025-03-20	REU.3.5_1	55.217447	-21.041226
CHIKV_RUN_S23b31_2025	2025-03-20	REU.3.4_1	55.28805	-21.174843
CHIKV_RUN_S23b39_2025	2025-03-20	REU.4.5_1	55.631574	-21.373996
